stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,1.743254236330467,10.917430407657012,2.0,False,1340,1340,1340,5,0.5640000104904175,0.6800000071525574,0.8379999995231628,1.641562325616977
2,0.9,2.4875011612482667,10.89394931180749,2.0,False,1414,1414,1414,5,0.5600000023841858,0.6700000166893005,0.8360000252723694,1.691216756531539
3,0.85,2.855344097202238,10.869125728082457,2.0,False,1469,1469,1469,5,0.5540000200271606,0.6660000085830688,0.8305599927902221,1.691216756531539
4,0.8,3.1438795021516297,10.842796789360108,2.0,False,1522,1522,1522,5,0.5400000214576721,0.6600000262260437,0.828000009059906,1.7398074074268792
5,0.6,3.895636260114631,10.717858052751808,2.0,False,1787,1787,1787,5,0.5199999809265137,0.6140000224113464,0.7919999957084656,1.6883589371364747
6,0.4,4.468650306500795,10.541766793696127,1.9392046739679554,False,1899,1899,1899,5,0.4620000123977661,0.5879999995231628,0.765999972820282,1.5215733188293181
7,0.2,4.941049667166338,10.240736798032145,1.4668053133024124,False,2013,2013,2013,5,0.3779999911785126,0.5339999794960022,0.7239999771118164,1.753228896901947
8,0.1,5.220061807168424,9.939706802368164,1.1877931733003262,False,2060,2060,2060,5,0.33000001311302185,0.44999998807907104,0.6639999747276306,1.6231027140978829
9,0.03,5.581940448297309,9.416828057087827,0.8259145321714412,False,1631,1631,1631,5,0.25999999046325684,0.33399999141693115,0.4180000126361847,1.7718493081294908
