stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,0.8188845035132054,10.462650782718047,2.0,False,1952,1952,1952,5,0.44600000977516174,0.5740000009536743,0.7519999742507935,1.388466101568134
2,0.9,1.4161021572798043,10.439169686868524,2.0,False,1960,1960,1960,5,0.4399999976158142,0.5720000267028809,0.75,1.2263013556567857
3,0.85,1.8442728858155164,10.414346103143492,2.0,False,1961,1961,1961,5,0.4320000112056732,0.5649999976158142,0.7400000095367432,1.3407860292080875
4,0.8,2.202695741373826,10.388017164421143,2.0,False,1963,1963,1963,5,0.42399999499320984,0.5600000023841858,0.7379999756813049,1.5514066917019966
5,0.6,3.23338062489424,10.263078427812843,2.0,False,2009,2009,2009,5,0.3799999952316284,0.5360000133514404,0.7260000109672546,1.6729419001754704
6,0.4,3.985537011589052,10.086987168757162,2.0,False,2047,2047,2047,5,0.33799999952316284,0.5,0.7080000042915344,1.6231027140978829
7,0.2,4.652000724839409,9.78595717309318,1.7277873610980912,False,1914,1914,1914,5,0.3240000009536743,0.4180000126361847,0.5898399758338925,1.3597371469292585
8,0.1,5.006916418587557,9.4849271774292,1.3728716673499433,False,1661,1661,1661,5,0.28200000524520874,0.34599998593330383,0.4320000112056732,1.7718493081294908
