id,ra,dec
366028.0,150.25899,1.8913647
54597.0,149.91628,2.1977644
133239.0,150.29134,2.0534844
213673.0,149.80585,2.097032
373482.0,150.3331,1.9283
264265.0,149.92766,1.9560546
565276.0,150.48872,2.4693031
498172.0,150.24265,2.5315998
