stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,1.2881400854152811,10.857158190860137,2.0,False,1487,1487,1487,5,0.5432000160217285,0.6629999876022339,0.8299999833106995,1.0652288073087246
2,0.9,2.0398879972171104,10.833677095010614,2.0,False,1555,1555,1555,5,0.5400000214576721,0.6579999923706055,0.828000009059906,1.2255388373920701
3,0.85,2.5481798578616117,10.808853511285582,2.0,False,1601,1601,1601,5,0.5339999794960022,0.6460000276565552,0.8183200144767758,1.428151649657703
4,0.8,2.9323170368567735,10.782524572563233,2.0,False,1659,1659,1659,5,0.527999997138977,0.6340000033378601,0.8019999861717224,1.6959028293247935
5,0.6,4.083568613270928,10.657585835954933,2.0,False,1832,1832,1832,5,0.5079200148582458,0.6039999723434448,0.7900000214576721,1.7398074074268792
6,0.4,4.922903986905438,10.481494576899252,2.0,False,1946,1946,1946,5,0.44840000867843627,0.578000009059906,0.7519999742507935,1.753228896901947
7,0.2,5.602723200524193,10.18046458123527,1.9091449635383073,False,1990,1990,1990,5,0.36000001430511475,0.527999997138977,0.7160000205039978,1.5850754658068387
8,0.1,5.9737355207698135,9.879434585571289,1.5381326432926867,False,2025,2025,2025,5,0.33000001311302185,0.4359999895095825,0.6323200249671933,1.3793198739447372
9,0.03,6.465986918116657,9.356555840290952,1.0458812459458429,False,1549,1549,1549,5,0.23335999608039856,0.33000001311302185,0.3880000114440918,1.7718493081294908
