galaxy_id,cluster,phz_log_stellar_mass,redshift,has_stamp,pdf_page,mass_bin,redshift_bin
2668397007640403255,1,9.0123291015625,0.2199999988079071,True,1,"[9.0,9.5)","[0.0,0.3)"
2661521258658304123,1,9.316365242004396,0.2919999957084656,True,1,"[9.0,9.5)","[0.0,0.3)"
2704339573638388331,1,9.23695182800293,0.2960000038146972,True,1,"[9.0,9.5)","[0.0,0.3)"
2651464815648679771,2,9.055150985717772,0.2199999988079071,True,1,"[9.0,9.5)","[0.0,0.3)"
2735650012679516328,2,9.248579978942873,0.2199999988079071,True,1,"[9.0,9.5)","[0.0,0.3)"
2731697166683605818,2,9.078299522399902,0.2599999904632568,True,1,"[9.0,9.5)","[0.0,0.3)"
2725466634651924030,3,9.469964981079102,0.2440000027418136,True,1,"[9.0,9.5)","[0.0,0.3)"
2701380076683853343,3,9.244169235229492,0.209999993443489,True,1,"[9.0,9.5)","[0.0,0.3)"
2762858047674138460,3,9.132551193237305,0.1800000071525573,True,1,"[9.0,9.5)","[0.0,0.3)"
2686033613681246137,1,9.055018424987791,0.3799999952316284,True,2,"[9.0,9.5)","[0.3,0.6)"
2756617132663791881,1,9.312212944030762,0.3499999940395355,True,2,"[9.0,9.5)","[0.3,0.6)"
2694803086691352017,1,9.028011322021484,0.4199999868869781,True,2,"[9.0,9.5)","[0.3,0.6)"
2647506477672107997,2,9.319354057312012,0.3700000047683716,True,2,"[9.0,9.5)","[0.3,0.6)"
2655550418663532879,2,9.465879440307615,0.3100000023841858,True,2,"[9.0,9.5)","[0.3,0.6)"
2725081375681425865,2,9.297249794006348,0.4300000071525574,True,2,"[9.0,9.5)","[0.3,0.6)"
2713318328689150977,3,9.496196746826172,0.328000009059906,True,2,"[9.0,9.5)","[0.3,0.6)"
2740268308665100250,1,9.467595100402832,0.7599999904632568,True,3,"[9.0,9.5)","[0.6,1.0)"
2674598393649348048,1,9.09799861907959,0.8479999899864197,True,3,"[9.0,9.5)","[0.6,1.0)"
2714616252647082426,1,9.41214656829834,0.6840000152587891,True,3,"[9.0,9.5)","[0.6,1.0)"
2707298779678890990,2,9.416421890258787,0.6840000152587891,True,3,"[9.0,9.5)","[0.6,1.0)"
2711558308678316349,2,9.449468612670898,0.6980000138282776,True,3,"[9.0,9.5)","[0.6,1.0)"
2703433260684308103,2,9.383177757263184,0.6840000152587891,True,3,"[9.0,9.5)","[0.6,1.0)"
2648545772681764910,3,9.39389705657959,0.9940000176429749,True,3,"[9.0,9.5)","[0.6,1.0)"
2698401129688942566,1,9.557308197021484,0.2520000040531158,True,4,"[9.5,10.0)","[0.0,0.3)"
2730951889680216744,1,9.51736068725586,0.2160000056028366,True,4,"[9.5,10.0)","[0.0,0.3)"
2671683113683572758,1,9.635964393615724,0.2680000066757202,True,4,"[9.5,10.0)","[0.0,0.3)"
2646673980639392697,2,9.734515190124512,0.2479999959468841,True,4,"[9.5,10.0)","[0.0,0.3)"
2757947086665215012,2,9.911463737487791,0.2899999916553497,True,4,"[9.5,10.0)","[0.0,0.3)"
2749282775644808745,2,9.526530265808104,0.1959999948740005,True,4,"[9.5,10.0)","[0.0,0.3)"
2757122004643426163,3,9.928030014038086,0.2680000066757202,True,4,"[9.5,10.0)","[0.0,0.3)"
2640922022650549511,3,9.857912063598633,0.2399999946355819,True,4,"[9.5,10.0)","[0.0,0.3)"
2768118625663725133,3,9.83651638031006,0.270000010728836,True,4,"[9.5,10.0)","[0.0,0.3)"
2659782745645977989,1,9.739591598510742,0.3759999871253967,True,5,"[9.5,10.0)","[0.3,0.6)"
2638064398656647690,1,9.971240043640137,0.5519999861717224,True,5,"[9.5,10.0)","[0.3,0.6)"
2745714302674731980,1,9.593730926513672,0.4359999895095825,True,5,"[9.5,10.0)","[0.3,0.6)"
2730437939688611710,2,9.614123344421388,0.4199999868869781,True,5,"[9.5,10.0)","[0.3,0.6)"
2734117210650787807,2,9.631668090820312,0.4300000071525574,True,5,"[9.5,10.0)","[0.3,0.6)"
2664571633686177952,2,9.979792594909668,0.4480000138282776,True,5,"[9.5,10.0)","[0.3,0.6)"
2719162422675841979,3,9.945103645324709,0.3740000128746032,True,5,"[9.5,10.0)","[0.3,0.6)"
2643789288662527189,3,9.837817192077637,0.3680000007152557,True,5,"[9.5,10.0)","[0.3,0.6)"
2752779988658290945,3,9.970321655273438,0.3079999983310699,True,5,"[9.5,10.0)","[0.3,0.6)"
2624560521658818482,1,9.897448539733888,0.7360000014305115,True,6,"[9.5,10.0)","[0.6,1.0)"
2742227578678375081,1,9.719902992248535,0.6779999732971191,True,6,"[9.5,10.0)","[0.6,1.0)"
2664760786639501676,1,9.750336647033691,0.6980000138282776,True,6,"[9.5,10.0)","[0.6,1.0)"
2723896464658509069,2,9.768189430236816,0.6880000233650208,True,6,"[9.5,10.0)","[0.6,1.0)"
2725604758654039318,2,9.544679641723633,0.6039999723434448,True,6,"[9.5,10.0)","[0.6,1.0)"
2647636435681908285,2,9.712943077087402,0.671999990940094,True,6,"[9.5,10.0)","[0.6,1.0)"
2744318378668883710,3,9.64550495147705,0.7699999809265137,True,6,"[9.5,10.0)","[0.6,1.0)"
2733550546657853038,3,9.756985664367676,0.7599999904632568,True,6,"[9.5,10.0)","[0.6,1.0)"
2695901997638798783,1,9.547673225402832,1.2339999675750732,True,7,"[9.5,10.0)","[1.0,1.5)"
2695740135641380643,1,9.916696548461914,1.0199999809265137,True,7,"[9.5,10.0)","[1.0,1.5)"
2741103470682469851,1,9.813226699829102,1.1779999732971191,True,7,"[9.5,10.0)","[1.0,1.5)"
2689489666690900083,1,10.042072296142578,0.2440000027418136,True,8,"[10.0,10.5)","[0.0,0.3)"
2642023399662371070,1,10.198272705078123,0.2220000028610229,True,8,"[10.0,10.5)","[0.0,0.3)"
2751450020673441908,1,10.301617622375488,0.270000010728836,True,8,"[10.0,10.5)","[0.0,0.3)"
2633175246662101906,2,10.228464126586914,0.2739999890327453,True,8,"[10.0,10.5)","[0.0,0.3)"
2744058068672192047,2,10.060785293579102,0.2899999916553497,True,8,"[10.0,10.5)","[0.0,0.3)"
2661657069685263163,2,10.0089693069458,0.2820000052452087,True,8,"[10.0,10.5)","[0.0,0.3)"
2736778287641479247,3,10.04687213897705,0.277999997138977,True,8,"[10.0,10.5)","[0.0,0.3)"
2759374375675763804,3,10.12766170501709,0.2720000147819519,True,8,"[10.0,10.5)","[0.0,0.3)"
2635870051674769077,3,10.272491455078123,0.277999997138977,True,8,"[10.0,10.5)","[0.0,0.3)"
2758763976678399377,1,10.050663948059082,0.5879999995231628,True,9,"[10.0,10.5)","[0.3,0.6)"
2765278733662133135,1,10.165900230407717,0.5839999914169312,True,9,"[10.0,10.5)","[0.3,0.6)"
2635090664654324011,1,10.328953742980955,0.5740000009536743,True,9,"[10.0,10.5)","[0.3,0.6)"
2698291559646138087,2,10.247705459594728,0.5860000252723694,True,9,"[10.0,10.5)","[0.3,0.6)"
2638906396649632034,2,10.165145874023438,0.4460000097751617,True,9,"[10.0,10.5)","[0.3,0.6)"
2677217330649100470,2,10.134157180786133,0.5619999766349792,True,9,"[10.0,10.5)","[0.3,0.6)"
2635945283672826545,3,10.086709022521973,0.3300000131130218,True,9,"[10.0,10.5)","[0.3,0.6)"
2721394913660920259,3,10.332351684570312,0.4399999976158142,True,9,"[10.0,10.5)","[0.3,0.6)"
2645307065645604830,3,10.268424987792969,0.4300000071525574,True,9,"[10.0,10.5)","[0.3,0.6)"
2666887993669930115,1,10.162971496582031,0.7860000133514404,True,10,"[10.0,10.5)","[0.6,1.0)"
2626289364656653290,1,10.437304496765137,0.8299999833106995,True,10,"[10.0,10.5)","[0.6,1.0)"
2627757300670569917,1,10.060017585754396,0.7979999780654907,True,10,"[10.0,10.5)","[0.6,1.0)"
2745662088679002977,2,10.148592948913574,0.699999988079071,True,10,"[10.0,10.5)","[0.6,1.0)"
2644196155677706861,2,10.449716567993164,0.6439999938011169,True,10,"[10.0,10.5)","[0.6,1.0)"
2740939476674598278,2,10.190093994140623,0.699999988079071,True,10,"[10.0,10.5)","[0.6,1.0)"
2707528067650736056,3,10.377233505249023,0.6539999842643738,True,10,"[10.0,10.5)","[0.6,1.0)"
2634481836658462005,3,10.299748420715332,0.6179999709129333,True,10,"[10.0,10.5)","[0.6,1.0)"
2661093441653925894,3,10.473127365112305,0.6200000047683716,True,10,"[10.0,10.5)","[0.6,1.0)"
2739213848663096749,1,10.29860496520996,1.2100000381469729,True,11,"[10.0,10.5)","[1.0,1.5)"
2674024524656252959,1,10.494312286376951,1.118000030517578,True,11,"[10.0,10.5)","[1.0,1.5)"
2758625269642669573,1,10.478554725646973,1.2580000162124634,True,11,"[10.0,10.5)","[1.0,1.5)"
2750960247643309266,2,10.36931324005127,1.0679999589920044,True,11,"[10.0,10.5)","[1.0,1.5)"
2720909551659785371,2,10.243119239807127,1.0,True,11,"[10.0,10.5)","[1.0,1.5)"
2767330254673559352,2,10.483529090881348,1.0399999618530271,True,11,"[10.0,10.5)","[1.0,1.5)"
2644190652681068440,3,10.609413146972656,0.2919999957084656,True,12,"[10.5,11.0)","[0.0,0.3)"
2754321140644010937,3,10.607426643371582,0.2599999904632568,True,12,"[10.5,11.0)","[0.0,0.3)"
2666857118687069333,3,10.519296646118164,0.277999997138977,True,12,"[10.5,11.0)","[0.0,0.3)"
2732035460649316933,1,10.528104782104492,0.5199999809265137,True,13,"[10.5,11.0)","[0.3,0.6)"
2668320931644837913,1,10.740119934082031,0.5199999809265137,True,13,"[10.5,11.0)","[0.3,0.6)"
2632457951667880791,1,10.554302215576172,0.5320000052452087,True,13,"[10.5,11.0)","[0.3,0.6)"
2758235660656598851,2,10.554479598999023,0.593999981880188,True,13,"[10.5,11.0)","[0.3,0.6)"
2684451761688112327,2,10.90290355682373,0.578000009059906,True,13,"[10.5,11.0)","[0.3,0.6)"
2682893141678105112,2,10.627135276794434,0.4399999976158142,True,13,"[10.5,11.0)","[0.3,0.6)"
2729348123656856896,3,10.511898040771484,0.4300000071525574,True,13,"[10.5,11.0)","[0.3,0.6)"
2659179724639259643,3,10.519219398498535,0.4000000059604645,True,13,"[10.5,11.0)","[0.3,0.6)"
2678943519676269429,3,10.6980619430542,0.5920000076293945,True,13,"[10.5,11.0)","[0.3,0.6)"
