stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,1.167175354950956,10.853440768374785,2.0,False,1493,1493,1493,5,0.5400000214576721,0.6620000004768372,0.828000009059906,1.164245107116464
2,0.9,1.8421637236153068,10.829959672525263,2.0,False,1559,1559,1559,5,0.5400000214576721,0.6579999923706055,0.8257599782943723,1.586204789921481
3,0.85,2.306014644935082,10.80513608880023,2.0,False,1614,1614,1614,5,0.5339999794960022,0.6420000195503235,0.8101600003242492,1.691216756531539
4,0.8,2.6276154567041825,10.778807150077881,2.0,False,1662,1662,1662,5,0.527999997138977,0.6340000033378601,0.8019999861717224,1.7398074074268792
5,0.6,3.4534638854107196,10.653868413469581,2.0,False,1834,1834,1834,5,0.5059999823570251,0.6019999980926514,0.7900000214576721,1.7398074074268792
6,0.4,4.054973122615189,10.4777771544139,1.9004985570723116,False,1953,1953,1953,5,0.4480000138282776,0.578000009059906,0.75,1.753228896901947
7,0.2,4.591369139314371,10.176747158749919,1.3641025403731293,False,1983,1983,1983,5,0.36000001430511475,0.527999997138977,0.7179999947547913,1.5850754658068387
8,0.1,4.90561826086189,9.875717163085938,1.0498534188256103,False,2021,2021,2021,5,0.33000001311302185,0.4339999854564667,0.625599992275238,1.3793198739447372
9,0.03,5.311191235922853,9.3528384178056,0.6442804437646474,False,1543,1543,1543,5,0.23199999332427979,0.33000001311302185,0.3880000114440918,1.7718493081294908
