stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.99,2.7933258291943934,11.237369699297258,2.0,False,540,540,540,5,0.6700000166893005,0.8299999833106995,0.9279999732971191,1.5468946078078631
2,0.98,2.839305639162247,11.232960580392202,2.0,False,551,551,551,5,0.6700000166893005,0.828000009059906,0.9283199787139892,1.5468946078078631
3,0.97,2.8893324552899826,11.228506238965952,2.0,False,560,560,560,5,0.6700000166893005,0.8259999752044678,0.9274399805068969,1.4901504190960542
4,0.96,2.94018400406714,11.224005737739276,2.0,False,565,565,565,5,0.6660000085830688,0.8240000009536743,0.923840022087097,1.5468946078078631
5,0.95,2.9980608835905818,11.219458109988555,2.0,False,574,574,574,5,0.6660000085830688,0.8240000009536743,0.9259999990463257,1.5468946078078631
6,0.9,3.2371497478234805,11.195977014139032,2.0,False,618,618,618,5,0.661120011806488,0.8159999847412109,0.921999990940094,1.5638488638846684
7,0.85,3.394543097263891,11.171153430414,2.0,False,678,678,678,5,0.6480000019073486,0.800000011920929,0.9200000166893005,1.5638488638846684
8,0.8,3.5696153879348316,11.14482449169165,2.0,False,733,733,733,5,0.6439199948310852,0.7919999957084656,0.9160800075531005,1.5638488638846684
9,0.6,4.228987454406127,11.01988575508335,2.0,False,1030,1030,1030,5,0.5920000076293945,0.7239999771118164,0.862720000743866,1.6847534641588218
10,0.4,4.741647331815205,10.84379449602767,1.610263800997295,False,1520,1520,1520,5,0.5400000214576721,0.6600000262260437,0.828000009059906,1.7398074074268792
11,0.2,5.158483168049385,10.542764500363688,1.1934279647631154,False,1905,1905,1905,5,0.4620000123977661,0.5879999995231628,0.765999972820282,1.5215733188293181
12,0.1,5.4615674752449666,10.241734504699707,0.8903436575675334,False,2016,2016,2016,5,0.3779999911785126,0.5339999794960022,0.7239999771118164,1.753228896901947
13,0.03,5.8338492895721945,9.71885575941937,0.5180618432403055,False,1820,1820,1820,5,0.3179999887943268,0.38999998569488525,0.5440000295639038,1.4453937756721236
14,0.01,6.069296290235285,9.241734504699707,0.2826148425772148,True,1373,1373,1373,5,0.21799999475479126,0.30000001192092896,0.36800000071525574,1.7438979087726998
