galaxy_id,cluster,phz_log_sfr,phz_log_stellar_mass,phz_log_ssfr,valid,redshift,triplet,target_log_ssfr,sfh_recent_mass_fraction_100myr,sfh_ssfr_100myr_per_year_R0,sfh_log_ssfr_100myr_R0,sfh_exact_zero_after_epsilon_subtraction,sfh_minus_phz_log_ssfr,raw_fraction_without_epsilon_subtraction
2670617862646651188,1,0.1389882266521453,10.351066589355469,-10.212078362703323,True,0.5540000200271606,1,-10.2,0.0022161291805538356,2.2161291805538356e-11,-10.654404927713223,False,-0.44232656500989975,0.002216129484284051
2767794553658410291,2,0.1339320242404937,10.3460111618042,-10.212079137563704,True,0.5540000200271606,1,-10.2,0.0008632999404393977,8.632999404393977e-12,-11.063838289051592,False,-0.8517591514878884,0.0008633002779903517
2672673467680992226,3,0.1343216449022293,10.351481437683104,-10.217159792780876,True,0.5839999914169312,1,-10.2,0.0,0.0,-inf,True,-inf,3.6683988004079844e-10
2704619469641471138,1,0.1885760426521301,10.391200065612791,-10.202624022960665,True,0.5419999957084656,2,-10.2,0.0020190372665503118,2.0190372665503116e-11,-10.694855664955423,False,-0.4922316419947581,0.0020190375721517574
2667769751684780339,2,0.1995930075645446,10.41167163848877,-10.212078630924225,True,0.5540000200271606,2,-10.2,9.538635855746967e-05,9.538635855746967e-13,-12.020513730398921,False,-1.8084350994746963,9.538671530625726e-05
2693723244638193608,3,0.180579200387001,10.390661239624023,-10.210082039237022,True,0.5720000267028809,2,-10.2,0.0,0.0,-inf,True,-inf,3.637459868302945e-10
2660887357685870847,1,0.1841944605112075,10.09717082977295,-9.912976369261742,True,0.3779999911785126,3,-9.9,0.003245883600405273,3.245883600405273e-11,-10.488667058326202,False,-0.5756906890644604,0.003245883835126827
2764540011653008412,2,0.1901154816150665,10.101644515991213,-9.911529034376144,True,0.3680000007152557,3,-9.9,0.0005494509093506466,5.494509093506466e-12,-11.260071103514388,False,-1.3485420691382437,0.0005494512091272477
2676181649678089711,3,0.1836768090724945,10.097142219543455,-9.913465410470964,True,0.3680000007152557,3,-9.9,0.0,0.0,-inf,True,-inf,3.1351287150258046e-10
2719987804646622497,1,0.1168729960918426,10.019939422607422,-9.90306642651558,True,0.3319999873638153,4,-9.9,0.002949237973934962,2.949237973934962e-11,-10.530290182823924,False,-0.6272237563083447,0.002949238205329498
2731970937648485377,2,0.1041923761367797,10.008703231811523,-9.904510855674744,True,0.3300000131130218,4,-9.9,0.0005171481187254824,5.171481187254824e-12,-11.28638505084774,False,-1.3818741951729958,0.0005171484104606181
2696916906648001674,3,0.116715207695961,10.030701637268066,-9.913986429572104,True,0.3300000131130218,4,-9.9,0.00018651266374313495,1.8651266374313495e-12,-11.729291675345651,False,-1.8153052457735477,0.0001865129637441511
2763699841651311063,1,0.3796951174736023,10.039767265319824,-9.660072147846222,True,0.3300000131130218,5,-9.6,0.003976858904198577,3.976858904198577e-11,-10.400459817164634,False,-0.7403876693184124,0.00397685910944094
2667204792638457347,2,0.3956816494464874,10.045559883117676,-9.649878233671188,True,0.3319999873638153,5,-9.6,0.002279898400951403,2.279898400951403e-11,-10.64208450602117,False,-0.992206272349982,0.0022798986490794202
2734519678656359531,3,0.3896555304527282,10.05280876159668,-9.663153231143951,True,0.3400000035762787,5,-9.6,0.0,0.0,-inf,True,-inf,3.069766636681174e-10
2668877021653274859,1,0.4704274237155914,10.102859497070312,-9.63243207335472,True,0.5099999904632568,6,-9.6,0.007619383417492848,7.619383417492849e-11,-10.118080171601987,False,-0.4856480982472675,0.007619383575010905
2712693402677721422,2,0.4937677383422851,10.12619972229004,-9.632431983947754,True,0.5099999904632568,6,-9.6,0.002857714729164612,2.857714729164612e-11,-10.5439811267463,False,-0.9115491427985454,0.0028577150057243796
2697246196647953142,3,0.5016301870346069,10.141282081604004,-9.639651894569395,True,0.492000013589859,6,-9.6,0.0,0.0,-inf,True,-inf,3.4350877506319785e-10
