galaxy_id,cluster,phz_log_sfr,phz_log_stellar_mass,phz_log_ssfr,valid,redshift,triplet,target_log_ssfr
2670617862646651188,1,0.1389882266521453,10.351066589355469,-10.212078362703323,True,0.5540000200271606,1,-10.2
2767794553658410291,2,0.1339320242404937,10.3460111618042,-10.212079137563704,True,0.5540000200271606,1,-10.2
2672673467680992226,3,0.1343216449022293,10.351481437683104,-10.217159792780876,True,0.5839999914169312,1,-10.2
2704619469641471138,1,0.1885760426521301,10.391200065612791,-10.202624022960665,True,0.5419999957084656,2,-10.2
2667769751684780339,2,0.1995930075645446,10.41167163848877,-10.212078630924225,True,0.5540000200271606,2,-10.2
2693723244638193608,3,0.180579200387001,10.390661239624023,-10.210082039237022,True,0.5720000267028809,2,-10.2
2660887357685870847,1,0.1841944605112075,10.09717082977295,-9.912976369261742,True,0.3779999911785126,3,-9.9
2764540011653008412,2,0.1901154816150665,10.101644515991213,-9.911529034376144,True,0.3680000007152557,3,-9.9
2676181649678089711,3,0.1836768090724945,10.097142219543455,-9.913465410470964,True,0.3680000007152557,3,-9.9
2719987804646622497,1,0.1168729960918426,10.019939422607422,-9.90306642651558,True,0.3319999873638153,4,-9.9
2731970937648485377,2,0.1041923761367797,10.008703231811523,-9.904510855674744,True,0.3300000131130218,4,-9.9
2696916906648001674,3,0.116715207695961,10.030701637268066,-9.913986429572104,True,0.3300000131130218,4,-9.9
2763699841651311063,1,0.3796951174736023,10.039767265319824,-9.660072147846222,True,0.3300000131130218,5,-9.6
2667204792638457347,2,0.3956816494464874,10.045559883117676,-9.649878233671188,True,0.3319999873638153,5,-9.6
2734519678656359531,3,0.3896555304527282,10.05280876159668,-9.663153231143951,True,0.3400000035762787,5,-9.6
2668877021653274859,1,0.4704274237155914,10.102859497070312,-9.63243207335472,True,0.5099999904632568,6,-9.6
2712693402677721422,2,0.4937677383422851,10.12619972229004,-9.632431983947754,True,0.5099999904632568,6,-9.6
2697246196647953142,3,0.5016301870346069,10.141282081604004,-9.639651894569395,True,0.492000013589859,6,-9.6
