stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.99,2.5999304022090755,11.052669687090226,2.0,False,964,964,964,5,0.5979999899864197,0.7360000014305115,0.8700000047683716,1.4901504190960542
2,0.98,2.7159447129384007,11.04826056818517,2.0,False,974,974,974,5,0.5979999899864197,0.734000027179718,0.8700000047683716,1.5939640954623822
3,0.97,2.802044342181172,11.043806226758921,2.0,False,985,985,985,5,0.593999981880188,0.7319999933242798,0.8700000047683716,1.6847534641588218
4,0.96,2.9046704657622735,11.039305725532245,2.0,False,990,990,990,5,0.593999981880188,0.7300000190734863,0.8700000047683716,1.6847534641588218
5,0.95,2.994591835214629,11.034758097781523,2.0,False,1003,1003,1003,5,0.5920000076293945,0.7300000190734863,0.8696799993515013,1.6847534641588218
6,0.9,3.234548080188108,11.011277001932001,2.0,False,1052,1052,1052,5,0.5899999737739563,0.7200000286102295,0.8619999885559082,1.586204789921481
7,0.85,3.4344858486280425,10.986453418206969,2.0,False,1116,1116,1116,5,0.5899999737739563,0.7120000123977661,0.8579999804496765,1.7651531074789948
8,0.8,3.6270415803687053,10.96012447948462,2.0,False,1204,1204,1204,5,0.5759999752044678,0.6959999799728394,0.8519999980926514,1.7650968407574488
9,0.6,4.262817886558506,10.83518574287632,2.0,False,1552,1552,1552,5,0.5400000214576721,0.6600000262260437,0.828000009059906,1.7650968407574488
10,0.4,4.801841847175263,10.659094483820638,1.8774359848559872,False,1828,1828,1828,5,0.5059999823570251,0.6039999723434448,0.7900000214576721,1.7398074074268792
11,0.2,5.290406332101688,10.358064488156657,1.3888714999295617,False,1995,1995,1995,5,0.40799999237060547,0.5519999861717224,0.7379999756813049,1.753228896901947
12,0.1,5.634402124856355,10.057034492492676,1.0448757071748949,False,2032,2032,2032,5,0.33399999141693115,0.49799999594688416,0.7020000219345093,1.5850754658068387
13,0.03,6.071321814730402,9.534155747212338,0.6079560173008485,False,1678,1678,1678,5,0.2919999957084656,0.3540000021457672,0.4480000138282776,1.7718493081294908
14,0.01,6.3263326341276525,9.057034492492676,0.3529451979035976,True,1005,1005,1005,5,0.18799999356269836,0.25,0.3227199983596802,1.7243391866978617
