stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,0.8611457339520815,10.10872030939041,2.0,False,2038,2038,2038,5,0.34200000762939453,0.5120000243186951,0.7099999785423279,0.8638120479066979
2,0.9,1.5117028753801487,10.085239213540888,2.0,False,2035,2035,2035,5,0.3365599966049195,0.5,0.7080000042915344,1.2683007579931203
3,0.85,1.992387798216458,10.060415629815855,2.0,False,2043,2043,2043,5,0.33399999141693115,0.4989999979734421,0.7020000219345093,1.2287684187840733
4,0.8,2.4123368079710117,10.034086691093506,2.0,False,2044,2044,2044,5,0.3319999873638153,0.47999998927116394,0.699999988079071,1.0840325509103663
5,0.6,3.610440617111397,9.909147954485206,2.0,False,2018,2018,2018,5,0.33000001311302185,0.4399999976158142,0.6520000100135803,1.2777450694658188
6,0.4,4.543567330355817,9.733056695429525,2.0,False,1840,1840,1840,5,0.3199999928474426,0.3919999897480011,0.5540000200271606,1.3793198739447372
7,0.2,5.37136870714666,9.432026699765544,1.9410204530095898,False,1624,1624,1624,5,0.25999999046325684,0.335999995470047,0.41999998688697815,1.7718493081294908
8,0.1,5.844175154925945,9.130996704101562,1.4682140052303048,False,1148,1148,1148,5,0.20800000429153442,0.2629999965429306,0.34695998787879945,1.7243391866978617
