galaxy_id,cluster,redshift,log_stellar_mass,delta_ms_100myr,delta_ms_recent_01,delta_ms_recent_02
2770453485666155541,3,0.3319999873638153,10.31374740600586,-4.0,-0.7135199381326515,-0.5049798774069822
2770981326663808811,3,0.4959999918937683,10.94849681854248,-4.0,-4.0,-4.0
2748983029662663438,3,0.40799999237060547,9.919439315795898,-4.0,-0.45789666096475373,-0.3225765214352181
2663447942664315863,3,0.26600000262260437,9.558004379272461,-4.0,-0.9230581036545931,-0.6804279917358325
2664539060666165398,3,0.48399999737739563,10.713946342468262,-4.0,-4.0,-4.0
2735903093642189455,3,0.3140000104904175,9.8919038772583,-4.0,-4.0,-4.0
2714817397678808539,3,0.3799999952316284,10.032805442810059,-4.0,-1.02720663208037,-0.6442781625727181
2635334184654451268,3,0.3880000114440918,10.286650657653809,-4.0,-4.0,-4.0
2634271490655794352,3,0.3400000035762787,10.247075080871582,-4.0,-0.5306337541660636,-0.39680367796111116
2730530513645216604,3,0.4000000059604645,10.846954345703125,-4.0,-4.0,-4.0
2696916906648001674,3,0.33000001311302185,10.030701637268066,-1.2175365328842365,-0.2505878558125196,-0.2703299630648575
2732912758657252571,3,0.38999998569488525,10.651286125183105,-4.0,-4.0,-1.1907978782167445
2731214238645505901,3,0.47200000286102295,10.360955238342285,-4.0,-1.1308025842858833,-0.7029006456648776
2700607275641854176,3,0.3319999873638153,10.183320999145508,-4.0,-4.0,-4.0
2755975823649840701,3,0.49000000953674316,10.543519020080566,-4.0,-4.0,-4.0
2737659803646729959,3,0.5,10.788447380065918,-4.0,-4.0,-4.0
2738009787648360549,3,0.3799999952316284,10.30529499053955,-4.0,-4.0,-4.0
2760776060645545020,3,0.2720000147819519,9.933642387390137,-4.0,-4.0,-0.9914641164197138
2646711848684699612,3,0.1979999989271164,9.587469100952148,-4.0,-0.5491285209893721,-0.5336203623074769
2669934132650972235,3,0.47600001096725464,10.137924194335938,-4.0,-4.0,-1.411981071373732
2641951414645417182,3,0.4000000059604645,10.326138496398926,-4.0,-4.0,-4.0
2659855114641078293,3,0.40799999237060547,10.209931373596191,-4.0,-4.0,-4.0
2741210809685525785,3,0.3140000104904175,9.613442420959473,-4.0,-0.5097208514293549,-0.4657643682845362
2645682467646822896,3,0.41999998688697815,10.359878540039062,-4.0,-4.0,-4.0
