galaxy_id,cluster,redshift,log_stellar_mass,delta_ms_100myr,delta_ms_recent_01,delta_ms_recent_02,activity_range,selection_window,selection_delta_ms
2694681590647942264,1,0.2919999957084656,9.580363273620605,-0.6059619755274833,-0.15935231122956686,-0.12331532349317047,Below MS: ΔMS < −0.5,100 Myr,-0.6059619755274833
2637338146645066046,1,0.3199999928474426,9.847487449645996,-0.6713201609040217,-0.22665525302571168,-0.21240464860320163,Below MS: ΔMS < −0.5,100 Myr,-0.6713201609040217
2736826729657222153,1,0.5799999833106995,10.314531326293945,-0.5581335766923367,-0.17291280695522818,-0.1177241220946629,Below MS: ΔMS < −0.5,100 Myr,-0.5581335766923367
2630543499656547891,1,0.5139999985694885,10.238563537597656,-0.6256965209744177,-0.2214801163567711,-0.2006178456936571,Below MS: ΔMS < −0.5,100 Myr,-0.6256965209744177
2694964437690487941,1,0.6079999804496765,10.025477409362793,0.313563832796318,0.2779540716814924,0.24861973364726336,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,0.313563832796318
2741426503661676074,1,0.2800000011920929,9.664628028869629,0.42297511703639595,0.38575227797844175,0.3487679612780032,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,0.42297511703639595
2695030920682747948,1,0.12200000137090683,8.772440910339355,-0.1004237253443831,-0.053322601035055026,-0.059120918447025904,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,-0.1004237253443831
2733615869660298316,1,0.25,8.843831062316895,0.4365532982444456,0.36131529001070567,0.2900496220912561,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,0.4365532982444456
2669919683652158225,1,0.5659999847412109,9.805381774902344,0.6895010500218928,0.5625426891264791,0.48156221059080573,Above MS: ΔMS > 0.5,100 Myr,0.6895010500218928
2688353236648724203,1,0.25,8.930456161499023,0.7331312809009839,0.5306952389620978,0.4385994302720754,Above MS: ΔMS > 0.5,100 Myr,0.7331312809009839
2742017583642833786,1,0.5479999780654907,9.519028663635254,0.7294288222425647,0.6166422757187063,0.5620539854167762,Above MS: ΔMS > 0.5,100 Myr,0.7294288222425647
2721960280653226258,1,0.1599999964237213,9.081833839416504,0.7007497812692927,0.5223224505778292,0.4425477213311952,Above MS: ΔMS > 0.5,100 Myr,0.7007497812692927
2759504956663618270,2,0.37599998712539673,9.702081680297852,-0.7710199480072161,-0.31652969777778206,-0.30630371898606745,Below MS: ΔMS < −0.5,100 Myr,-0.7710199480072161
2666464925639409486,2,0.5320000052452087,10.560617446899414,-2.1561775632169153,-0.4610504495476358,-0.4403809862470474,Below MS: ΔMS < −0.5,100 Myr,-2.1561775632169153
2749371052647939111,2,0.49000000953674316,10.709627151489258,-4.0,-0.5801566205584482,-0.211612993517185,Below MS: ΔMS < −0.5,100 Myr,-4.0
2693550716646510143,2,0.8420000076293945,11.032633781433105,-0.7883374909648455,-0.3579097400381478,-0.37005572696000155,Below MS: ΔMS < −0.5,100 Myr,-0.7883374909648455
2663229904647862696,2,0.3840000033378601,10.065817832946777,-0.25675500488831127,-0.042617624401269406,-0.03820463132555907,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,-0.25675500488831127
2691736922643338804,2,0.2240000069141388,8.910477638244629,-0.18035637803256044,-0.13834999623579763,-0.1639374998051099,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,-0.18035637803256044
2673665777657783411,2,0.28999999165534973,9.008871078491211,-0.13766688409319572,-0.09264786238982703,-0.10607947952368167,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,-0.13766688409319572
2743284745644966017,2,0.6119999885559082,10.061378479003906,0.06445031644120267,0.10167975613163266,0.08752653787888627,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,0.06445031644120267
2666850849662680324,2,0.22200000286102295,8.39926528930664,0.9421480620743922,0.5793716619856696,0.4331915082216341,Above MS: ΔMS > 0.5,100 Myr,0.9421480620743922
2760403790646001052,2,0.2199999988079071,8.164169311523438,0.8809743488604248,0.4919353174927506,0.35406902696142756,Above MS: ΔMS > 0.5,100 Myr,0.8809743488604248
2688094234689024537,2,0.36800000071525574,8.743559837341309,0.8638071827041363,0.6091858339308001,0.46592277003261284,Above MS: ΔMS > 0.5,100 Myr,0.8638071827041363
2755888667644389756,2,0.41999998688697815,9.3770751953125,0.5659212584138595,0.4517927433639368,0.36822418283221525,Above MS: ΔMS > 0.5,100 Myr,0.5659212584138595
2741813581659166701,3,0.6480000019073486,11.16602611541748,-4.0,-4.0,-4.0,Below MS: ΔMS < −0.5,100 Myr,-4.0
2651589798642601036,3,0.9179999828338623,11.032198905944824,-4.0,-0.7045300778115102,-0.49113205031415347,Below MS: ΔMS < −0.5,100 Myr,-4.0
2643312596649500542,3,0.33799999952316284,10.101727485656738,-4.0,-0.5716833817427206,-0.42744338590856373,Below MS: ΔMS < −0.5,100 Myr,-4.0
2626862761651707433,3,0.3199999928474426,9.938546180725098,-4.0,-1.6907030521847612,-0.8077755074934824,Below MS: ΔMS < −0.5,100 Myr,-4.0
2666293587667554202,3,0.029999999329447746,6.737879276275635,0.199984305587915,-0.11914574935980897,-0.20307647440589033,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,0.199984305587915
2693079625682705830,3,0.02800000086426735,7.251974105834961,0.2049785187999504,-0.006339718810205284,-0.07132766765301228,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,0.2049785187999504
2649638339644547089,3,0.0820000022649765,7.526037216186523,0.34225154140339953,0.06008098482883047,-0.0203574653559643,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,0.34225154140339953
2718552305646596951,3,0.06400000303983688,7.151768684387207,0.41508373289675804,0.09396842062944484,-0.0054830585265073055,Near MS: −0.5 ≤ ΔMS ≤ 0.5,100 Myr,0.41508373289675804
2647132099670025648,3,0.12800000607967377,8.180084228515625,0.6889906141516218,0.39973605364529347,0.3054827908487161,Above MS: ΔMS > 0.5,100 Myr,0.6889906141516218
2639921005641280697,3,0.10000000149011612,8.245959281921387,0.7487104155756477,0.5643101392048737,0.4486012531372524,Above MS: ΔMS > 0.5,100 Myr,0.7487104155756477
2712726686640201003,3,0.10000000149011612,7.922211647033691,0.6907817415901939,0.3704631921886797,0.2522279781627978,Above MS: ΔMS > 0.5,100 Myr,0.6907817415901939
2750565990667368901,3,0.10199999809265137,8.30707836151123,0.8182948064672814,0.5841558460239769,0.46842080703426414,Above MS: ΔMS > 0.5,100 Myr,0.8182948064672814
