stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.99,1.265526582794835,10.247908754167863,2.0,False,2024,2024,2024,5,0.3799999952316284,0.5339999794960022,0.7239999771118164,-0.48044009922162323
2,0.98,1.801146966848493,10.243499635262808,2.0,False,2016,2016,2016,5,0.3799999952316284,0.5339999794960022,0.7239999771118164,0.3962820066520457
3,0.97,2.2873455609007896,10.239045293836558,2.0,False,2011,2011,2011,5,0.3779999911785126,0.5339999794960022,0.7239999771118164,0.965806696931374
4,0.96,2.6507417779089395,10.234544792609881,2.0,False,2024,2024,2024,5,0.3779999911785126,0.5320000052452087,0.7239999771118164,0.9907496818911253
5,0.95,2.83291595968624,10.22999716485916,2.0,False,2022,2022,2022,5,0.3779999911785126,0.5339999794960022,0.7260000109672546,1.5886755986490688
6,0.9,3.3762727807860617,10.206516069009638,2.0,False,2006,2006,2006,5,0.3720000088214874,0.5320000052452087,0.7200000286102295,1.0001261702917597
7,0.85,3.8460474291252558,10.181692485284605,2.0,False,1982,1982,1982,5,0.36000001430511475,0.527999997138977,0.7160000205039978,1.2310328384313727
8,0.8,4.193562926056285,10.155363546562256,2.0,False,2001,2001,2001,5,0.3499999940395355,0.5220000147819519,0.7143199920654294,1.2482905089694687
9,0.6,5.224671384158913,10.030424809953956,2.0,False,2053,2053,2053,5,0.3319999873638153,0.47999998927116394,0.699999988079071,1.5850754658068387
10,0.4,6.075009453082863,9.854333550898275,2.0,False,2004,2004,2004,5,0.33000001311302185,0.4300000071525574,0.6119999885559082,1.3793198739447372
11,0.2,6.839217182148059,9.553303555234294,2.0,False,1698,1698,1698,5,0.2970400059223175,0.3580000102519989,0.45399999618530273,1.4833952633846077
12,0.1,7.2557814733579935,9.252273559570312,2.0,False,1373,1373,1373,5,0.21799999475479126,0.3019999861717224,0.36800000071525574,1.7438979087726998
