stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,1.3823212521593633,10.893202311648711,2.0,False,1414,1414,1414,5,0.5600000023841858,0.671999990940094,0.8360000252723694,1.8370360638591676
2,0.9,2.0648518820208697,10.869721215799188,2.0,False,1466,1466,1466,5,0.5540000200271606,0.6660000085830688,0.8299999833106995,1.586204789921481
3,0.85,2.5354008764679463,10.844897632074156,2.0,False,1516,1516,1516,5,0.5400000214576721,0.6600000262260437,0.828000009059906,1.691216756531539
4,0.8,2.8536738555137737,10.818568693351807,2.0,False,1580,1580,1580,5,0.5360000133514404,0.6480000019073486,0.8220000267028809,1.7650968407574488
5,0.6,3.622270570808259,10.693629956743507,2.0,False,1810,1810,1810,5,0.5139999985694885,0.6100000143051147,0.7900000214576721,1.6883589371364747
6,0.4,4.14144302097799,10.517538697687826,1.5943714321470104,False,1923,1923,1923,5,0.46000000834465027,0.5820000171661377,0.7599999904632568,1.5215733188293181
7,0.2,4.648802048645317,10.216508702023845,1.0870124044796832,False,1993,1993,1993,5,0.37400001287460327,0.5339999794960022,0.722000002861023,1.5850754658068387
8,0.1,4.935792755226594,9.915478706359863,0.8000216978984058,False,2044,2044,2044,5,0.33000001311302185,0.44200000166893005,0.656000018119812,1.6231027140978829
9,0.03,5.2955222808692906,9.392599961079526,0.4402921722557096,True,1580,1580,1580,5,0.257999986410141,0.3319999873638153,0.4000000059604645,1.7718493081294908
