stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,rank,galaxy_id,bundle_index,log_stellar_mass,mass_offset_dex,redshift,phz_log_ssfr,phz_delta_ms,cumulative_sfh_distance,has_stamp
1,0.95,1.3823212521593633,10.893202311648711,2.0,False,1,2648877261670572303,13653,10.898737907409668,0.005535595760957079,1.1480000019073486,-9.20402991771698,0.8827438077050264,0.003126504194021286,True
1,0.95,1.3823212521593633,10.893202311648711,2.0,False,2,2739479407646710297,13662,10.985644340515137,0.09244202886642583,1.1519999504089355,-8.468506574630737,1.641562325616977,0.003560752477500132,True
1,0.95,1.3823212521593633,10.893202311648711,2.0,False,3,2751025717641166180,13675,11.024994850158691,0.13179253850998052,1.1200000047683716,-8.304064512252808,1.8370360638591676,0.003690685920712008,True
1,0.95,1.3823212521593633,10.893202311648711,2.0,False,4,2733185372680607009,13265,10.943375587463379,0.05017327581466802,0.9319999814033508,-8.300672054290771,1.9429534965392459,0.006521373809355368,True
1,0.95,1.3823212521593633,10.893202311648711,2.0,False,5,2712339651656077356,13288,10.743657112121582,-0.14954519952712886,0.9300000071525574,-8.132350444793701,2.049448469192828,0.00700481074287062,True
2,0.9,2.0648518820208697,10.869721215799188,2.0,False,1,2634543024650423260,13669,10.899344444274902,0.02962322847571386,1.1419999599456787,-8.496529579162598,1.5939640954623822,0.018727815624119817,True
2,0.9,2.0648518820208697,10.869721215799188,2.0,False,2,2734658301652561453,13671,10.937623023986816,0.06790180818762792,1.1480000019073486,-9.194427728652954,0.9038334340713291,0.019830071517263587,True
2,0.9,2.0648518820208697,10.869721215799188,2.0,False,3,2733922492661538209,13673,10.89663028717041,0.02690907137122167,1.1720000505447388,-8.486005544662476,1.586204789921481,0.021476951987750598,True
2,0.9,2.0648518820208697,10.869721215799188,2.0,False,4,2759635543654599959,13656,10.857925415039062,-0.011795800760125985,1.2719999551773071,-8.079265594482422,1.9273423895874555,0.02149511925379219,True
2,0.9,2.0648518820208697,10.869721215799188,2.0,False,5,2685458456650089872,13291,10.748069763183594,-0.12165145261559474,0.9779999852180481,-8.721120357513428,1.428151649657703,0.02328964483491644,True
3,0.85,2.5354008764679463,10.844897632074156,2.0,False,1,2659854720684798410,13716,10.928716659545898,0.0838190274717423,1.378000020980835,-8.209156036376953,1.7651531074789948,0.02784762270479732,True
3,0.85,2.5354008764679463,10.844897632074156,2.0,False,2,2703488790670980759,13681,10.79566764831543,-0.04922998375872645,1.1699999570846558,-8.407060146331787,1.6366662844041477,0.04111764410102445,True
3,0.85,2.5354008764679463,10.844897632074156,2.0,False,3,2717164221659400875,13698,10.722220420837402,-0.12267721123675379,1.1139999628067017,-8.572161436080933,1.4822829269176023,0.04471382083710315,True
3,0.85,2.5354008764679463,10.844897632074156,2.0,False,4,2752524161681122296,13621,10.746442794799805,-0.09845483727435145,1.25,-8.294881582260132,1.691216756531539,0.04725093025880679,True
3,0.85,2.5354008764679463,10.844897632074156,2.0,False,5,2741447642657085578,13677,10.69784164428711,-0.14705598778704676,1.1540000438690186,-8.284204959869385,1.7398074074268792,0.04779991131901305,True
4,0.8,2.8536738555137737,10.818568693351807,2.0,False,1,2678711556674304258,13703,10.83240795135498,0.013839258003173427,1.3339999914169312,-8.20333194732666,1.7650968407574488,0.04136519143251124,True
4,0.8,2.8536738555137737,10.818568693351807,2.0,False,2,2703488790670980759,13681,10.79566764831543,-0.022901045036377354,1.1699999570846558,-8.407060146331787,1.6366662844041477,0.059157535511065375,True
4,0.8,2.8536738555137737,10.818568693351807,2.0,False,3,2659854720684798410,13716,10.928716659545898,0.1101479661940914,1.378000020980835,-8.209156036376953,1.7651531074789948,0.06186858498885703,True
4,0.8,2.8536738555137737,10.818568693351807,2.0,False,4,2741447642657085578,13677,10.69784164428711,-0.12072704906469767,1.1540000438690186,-8.284204959869385,1.7398074074268792,0.06291510111868252,True
4,0.8,2.8536738555137737,10.818568693351807,2.0,False,5,2652718793642424678,13708,10.689908981323242,-0.12865971202856485,1.3700000047683716,-8.066347360610962,1.845379789268509,0.07223051097439696,True
5,0.6,3.622270570808259,10.693629956743507,2.0,False,1,2716117201644464606,13713,10.577238082885742,-0.11639187385776495,1.350000023841858,-8.430529594421387,1.4589546513658234,0.12226307204729323,True
5,0.6,3.622270570808259,10.693629956743507,2.0,False,2,2678711556674304258,13703,10.83240795135498,0.13877799461147333,1.3339999914169312,-8.20333194732666,1.7650968407574488,0.23786811207931916,True
5,0.6,3.622270570808259,10.693629956743507,2.0,False,3,2741447642657085578,13677,10.69784164428711,0.004211687543602238,1.1540000438690186,-8.284204959869385,1.7398074074268792,0.26699033524490173,True
5,0.6,3.622270570808259,10.693629956743507,2.0,False,4,2629425863659052113,13648,10.631691932678223,-0.06193802406528448,1.184000015258789,-8.299566507339478,1.6883589371364747,0.2683583908456949,True
5,0.6,3.622270570808259,10.693629956743507,2.0,False,5,2703488790670980759,13681,10.79566764831543,0.10203769157192255,1.1699999570846558,-8.407060146331787,1.6366662844041477,0.2713179789279836,True
6,0.4,4.14144302097799,10.517538697687826,1.5943714321470104,False,1,2716117201644464606,13713,10.577238082885742,0.0596993851979164,1.350000023841858,-8.430529594421387,1.4589546513658234,0.2578538390231292,True
6,0.4,4.14144302097799,10.517538697687826,1.5943714321470104,False,2,2735200012646842655,13634,10.424372673034668,-0.09316602465315782,1.1239999532699585,-8.43834102153778,1.5215733188293181,0.34971623161289744,True
6,0.4,4.14144302097799,10.517538697687826,1.5943714321470104,False,3,2700862331672375126,13655,10.392598152160645,-0.12494054552718126,1.2680000066757202,-8.576595783233643,1.299249346367382,0.3517452951435386,True
6,0.4,4.14144302097799,10.517538697687826,1.5943714321470104,False,4,2754251518642661053,13623,10.532402992248535,0.014864294560709368,1.25,-8.072330474853516,1.8523654778222078,0.35317677399469316,True
6,0.4,4.14144302097799,10.517538697687826,1.5943714321470104,False,5,2748216818639415066,13700,10.542264938354492,0.0247262406666664,1.2660000324249268,-8.029879570007324,1.8896759237254623,0.36542612026753235,True
7,0.2,4.648802048645317,10.216508702023845,1.0870124044796832,False,1,2741023943678283074,13629,10.259780883789062,0.043272181765217965,1.194000005722046,-7.938389539718628,1.9357254679424387,0.36750921945493964,True
