mass_quantile,galaxy_id,log_stellar_mass,redshift,phz_delta_ms,n_checkpoints,pdf
0.05,2763283538658028988,10.252273559570312,0.3799999952316284,0.5363827578429129,12,euclid/diagnostics/selected_progenitor_mass_examples/mass_q0.05_2763283538658028988.pdf
0.2,2644190652681068440,10.609413146972656,0.2919999957084656,0.3996890767164526,13,euclid/diagnostics/selected_progenitor_mass_examples/mass_q0.20_2644190652681068440.pdf
0.4,2748087812675550990,10.847530364990234,0.5979999899864197,-0.015850089326901462,13,euclid/diagnostics/selected_progenitor_mass_examples/mass_q0.40_2748087812675550990.pdf
0.6,2751998450659860515,11.057034492492676,0.7919999957084656,-0.46985902876153285,14,euclid/diagnostics/selected_progenitor_mass_examples/mass_q0.60_2751998450659860515.pdf
0.8,2753746377651000618,11.241734504699707,0.8600000143051147,-2.148464066356427,14,euclid/diagnostics/selected_progenitor_mass_examples/mass_q0.80_2753746377651000618.pdf
0.95,2660514061680209499,11.48779582977295,0.9200000166893005,-0.7550414327848052,14,euclid/diagnostics/selected_progenitor_mass_examples/mass_q0.95_2660514061680209499.pdf
