stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.99,1.4175344051711247,10.605048341570207,2.0,False,1867,1867,1867,5,0.47999998927116394,0.5960000157356262,0.7900000214576721,0.7520909282100025
2,0.98,1.9810780534216834,10.600639222665151,2.0,False,1865,1865,1865,5,0.4779999852180481,0.5960000157356262,0.7900000214576721,0.7045930907297467
3,0.97,2.495565106516956,10.596184881238901,2.0,False,1871,1871,1871,5,0.47408000707626347,0.5960000157356262,0.7900000214576721,0.9897987632378088
4,0.96,2.835183690040413,10.591684380012225,2.0,False,1874,1874,1874,5,0.4740000069141388,0.593999981880188,0.7900000214576721,0.9053815656383811
5,0.95,3.0780614953190435,10.587136752261504,2.0,False,1880,1880,1880,5,0.47200000286102295,0.593999981880188,0.7900000214576721,1.1040562722830836
6,0.9,3.8561958945066337,10.563655656411981,2.0,False,1895,1895,1895,5,0.46799999475479126,0.5899999737739563,0.7799999713897705,1.4943560178934256
7,0.85,4.458587583807308,10.538832072686949,2.0,False,1902,1902,1902,5,0.4620000123977661,0.5879999995231628,0.7620000243186951,1.7533585387978046
8,0.8,4.845694698928183,10.5125031339646,2.0,False,1922,1922,1922,5,0.4580000042915344,0.5820000171661377,0.7599999904632568,1.4113126637366054
9,0.6,5.880750166487563,10.3875643973563,2.0,False,1964,1964,1964,5,0.4259999990463257,0.5600000023841858,0.7398400068283078,1.5215733188293181
10,0.4,6.597652864880053,10.211473138300619,2.0,False,1995,1995,1995,5,0.3720000088214874,0.5320000052452087,0.722000002861023,1.5850754658068387
11,0.2,7.31511447426945,9.910443142636638,2.0,False,2032,2032,2032,5,0.33000001311302185,0.44099999964237213,0.6520000100135803,1.6231027140978829
12,0.1,7.7699841714046975,9.609413146972656,2.0,False,1735,1735,1735,5,0.3059999942779541,0.3700000047683716,0.4819999933242798,1.4833952633846077
13,0.03,8.294759292719231,9.086534401692319,1.828043441655769,False,1044,1044,1044,5,0.20000000298023224,0.257999986410141,0.3362399959564209,1.7243391866978617
