galaxy_id,redshift,source_h5_row,bundle_h5_row
2659725226674857770,0.4519999921321869,498,45
2756454033648937125,0.4399999976158142,515,46
2736100449658173207,0.3019999861717224,638,71
2643430004684950693,0.4580000042915344,655,73
2643807157684568942,0.17000000178813934,835,89
2662847022640564950,0.4580000042915344,977,101
2741276862686053717,0.33399999141693115,1019,109
2720723308638632787,0.33000001311302185,1090,115
2739005015683933321,0.23000000417232513,1165,124
2719640964642661702,0.22599999606609344,1188,126
2696879881637668303,0.3779999911785126,1287,129
2730522171670648090,0.29600000381469727,1496,141
2738089870639648859,0.37599998712539673,1517,143
2637775297664896206,0.3700000047683716,1538,146
2656893774667879837,0.47999998927116394,1603,152
2684414626656366860,0.4300000071525574,1649,159
2642023399662371070,0.22200000286102295,1810,165
2703168181687100392,0.32199999690055847,2059,182
2705879054686908139,0.328000009059906,2153,190
2738159105683476885,0.4059999883174896,2179,192
2735047071671371193,0.3799999952316284,2427,208
2638985425662824828,0.4440000057220459,2441,209
2643414038670748712,0.36000001430511475,2723,222
2740372655659771036,0.42800000309944153,2727,224
2729334691655985372,0.2619999945163727,2898,233
2656214334669220687,0.4259999990463257,2930,238
2666972860670784577,0.4519999921321869,3036,242
2635816068675663329,0.3400000035762787,3088,247
2694642778650865719,0.2240000069141388,3251,261
2678618210642897247,0.30799999833106995,3361,268
2672784676646157229,0.44999998807907104,3717,295
2761079248662242462,0.2160000056028366,3882,319
2662539228651791958,0.33000001311302185,4366,364
2740729577681588510,0.46000000834465027,4683,382
2659759333646005670,0.20000000298023224,4965,406
2730437939688611710,0.41999998688697815,5054,414
2740013764683649011,0.37599998712539673,5133,426
2705296760638903576,0.3720000088214874,5153,430
2666130818639647952,0.23000000417232513,5161,432
2670439805683237508,0.4300000071525574,5340,446
2706479117640387783,0.15199999511241913,5377,449
2761196731646558918,0.33000001311302185,5414,454
2758358647643828886,0.3240000009536743,5916,508
2652401186641790302,0.36000001430511475,6132,526
2641019993683051946,0.4099999964237213,6166,531
2763699841651311063,0.33000001311302185,6171,532
2703254673639049208,0.46000000834465027,6227,537
2764762418652683335,0.36000001430511475,6259,541
2646877228677342068,0.3779999911785126,6636,569
2744967809647006935,0.33000001311302185,6861,587
2680479337649265840,0.30399999022483826,7001,596
2696937516638995918,0.3540000021457672,7102,604
2662734611645725087,0.33000001311302185,7277,619
2742052062649884171,0.335999995470047,7365,629
2741328619651204757,0.3479999899864197,7660,645
2720943682650344548,0.33000001311302185,7700,651
2692744371681478996,0.4959999918937683,7723,652
2673656295666476380,0.4519999921321869,7735,654
2729472490685047816,0.3840000033378601,7882,668
2734988051687642084,0.46000000834465027,7885,669
2711206261645480148,0.38999998569488525,8169,687
2692353692689333060,0.3799999952316284,8290,694
2692075091654301818,0.164000004529953,8580,718
2708590986678707535,0.44999998807907104,8678,728
2630198647657347118,0.4359999895095825,8809,738
2703720608657883581,0.3140000104904175,8854,745
2741708997670260266,0.4580000042915344,8923,751
2743265176670430314,0.3840000033378601,8939,753
2641806689675191438,0.30000001192092896,9116,766
2751717898675915221,0.3959999978542328,9126,768
2711768709686742478,0.3720000088214874,9187,774
2734333972679942810,0.46000000834465027,9234,776
2719561053686267557,0.4099999964237213,9520,802
2720125671679943310,0.2160000056028366,9614,808
2692553903679965917,0.3179999887943268,9634,810
2657832480655342506,0.3140000104904175,9666,814
2749471851645077525,0.30399999022483826,9723,823
2710981543674444676,0.20999999344348907,9886,835
2667628007656620955,0.41999998688697815,9921,839
2675025092686416701,0.35600000619888306,9979,849
2649840862654283507,0.3199999928474426,10001,852
2631727909670856692,0.38999998569488525,10142,865
2742586184678747809,0.28200000524520874,10185,868
