galaxy_id,redshift,source_h5_row,bundle_h5_row
2735903093642189455,0.3140000104904175,166,13
2714817397678808539,0.3799999952316284,192,15
2635334184654451268,0.3880000114440918,254,18
2730530513645216604,0.4000000059604645,290,22
2732912758657252571,0.38999998569488525,445,40
2731214238645505901,0.47200000286102295,526,50
2700607275641854176,0.3319999873638153,531,51
2755975823649840701,0.49000000953674316,574,58
2737659803646729959,0.5,597,62
2738009787648360549,0.3799999952316284,608,63
2760776060645545020,0.2720000147819519,733,76
2669934132650972235,0.47600001096725464,771,80
2659855114641078293,0.40799999237060547,877,93
2709322732641472692,0.3799999952316284,1142,123
2719674259688256439,0.4180000126361847,1608,155
2731831367653429517,0.49399998784065247,1747,161
2754728715667209879,0.37599998712539673,1961,174
2773722039666942671,0.30000001192092896,1971,175
2644989201657761255,0.38199999928474426,2017,179
2747318900655360061,0.4699999988079071,2100,187
2718158450681329389,0.3799999952316284,2112,188
2741608425660000496,0.4699999988079071,2726,223
2649455221680913936,0.49000000953674316,2990,241
2674321053644034240,0.328000009059906,3410,270
2758312313643766942,0.35600000619888306,3461,276
2760008816643185090,0.4000000059604645,3463,277
2765838456648241788,0.3499999940395355,3577,284
2712656789689234291,0.3580000102519989,3607,287
2653121559680846093,0.22200000286102295,3912,323
2630984407650612225,0.4000000059604645,3947,325
2625335926654851597,0.3199999928474426,3980,328
2761292517662723175,0.42800000309944153,4024,333
2743540143661432772,0.4519999921321869,4067,340
2628443519655995621,0.47600001096725464,4125,344
2670894290641827252,0.3799999952316284,4495,370
2686320804689533439,0.3840000033378601,4704,384
2705172218640263124,0.4620000123977661,4988,407
2742080023681437190,0.37400001287460327,4996,408
2757316511658113584,0.3799999952316284,4997,409
2632676965672464960,0.4560000002384186,5026,411
2644812773651257540,0.33000001311302185,5229,436
2742030044640644887,0.492000013589859,5287,443
2756426811660682788,0.38199999928474426,5753,486
2770111725661733486,0.37400001287460327,5768,488
2657068624646860274,0.4339999854564667,5855,503
2654856635657439627,0.49399998784065247,6255,540
2645041376654875380,0.3240000009536743,6312,547
2645064288681570196,0.36800000071525574,6435,554
2646632452638883332,0.3100000023841858,6515,559
2728548559645217951,0.4699999988079071,6516,560
2650901745650017983,0.4320000112056732,6663,570
2651200412664087617,0.4620000123977661,6738,580
2658396983682307366,0.46000000834465027,6882,590
2647846544651969647,0.47600001096725464,7204,613
2742717814645895315,0.4000000059604645,7336,626
2650499248640360871,0.33000001311302185,7783,660
2716872158652163078,0.3779999911785126,8278,691
2711875963687384932,0.4819999933242798,8294,696
2696914587686216748,0.3440000116825104,8356,702
2726117562674439285,0.4300000071525574,8504,711
2680874736687496484,0.46799999475479126,8559,714
