galaxy_id,redshift,source_h5_row,bundle_h5_row,catalog_log_stellar_mass,recent_delta_ms,recent_window,recent_ms_settings
2724504764655222190,0.28999999165534973,1982,176,,,,
2747318900655360061,0.4699999988079071,2100,187,,,,
2737971691688775855,0.36000001430511475,2246,197,,,,
2712656789689234291,0.3580000102519989,3607,287,,,,
2670894290641827252,0.3799999952316284,4495,370,,,,
2705172218640263124,0.4620000123977661,4988,407,,,,
2742717814645895315,0.4000000059604645,7336,626,,,,
2650499248640360871,0.33000001311302185,7783,660,,,,
2711875963687384932,0.4819999933242798,8294,696,,,,
2644190652681068440,0.2919999957084656,8853,744,,,,
2717683167686072044,0.2919999957084656,9415,789,,,,
2653177617685263216,0.38199999928474426,10448,893,,,,
2724482865640766712,0.3799999952316284,10970,935,,,,
2673346092638193989,0.4359999895095825,11175,960,,,,
2722992635655635302,0.3540000021457672,12308,1081,,,,
2754548422681032812,0.40799999237060547,14489,1280,,,,
2662517503663840132,0.5,21000,1880,,,,
2761280471664679469,0.35199999809265137,21277,1912,,,,
2633610246658904883,0.3799999952316284,22565,2011,,,,
2662346520686217637,0.32199999690055847,24803,2220,,,,
2660866381674017548,0.36800000071525574,26450,2385,,,,
2718652604657475036,0.38199999928474426,27608,2505,,,,
2751950488674784783,0.42800000309944153,29515,2661,,,,
2711316674688861679,0.3720000088214874,35280,3201,,,,
2758504461649693703,0.3799999952316284,37441,3385,,,,
2635505172644102095,0.3799999952316284,39613,3551,,,,
2666451865656496198,0.42399999499320984,40679,3643,,,,
2648213781662575539,0.38199999928474426,41643,3736,,,,
2634498978655039634,0.4699999988079071,42678,3819,,,,
2678113309637768183,0.3799999952316284,43852,3914,,,,
2763283538658028988,0.3799999952316284,46272,4122,,,,
2753980821676566598,0.35199999809265137,46530,4149,,,,
2753844028681126868,0.3199999928474426,46794,4181,,,,
2629855112672511445,0.33799999952316284,47557,4257,,,,
2638463246642731644,0.4480000138282776,47749,4278,,,,
2645768036683214925,0.46000000834465027,49023,4398,,,,
2666570533687891040,0.3059999942779541,50052,4491,,,,
2651531292677668997,0.3499999940395355,52139,4658,,,,
2703392565643518830,0.4320000112056732,53231,4758,,,,
2770516392667255626,0.46000000834465027,54588,4885,,,,
2622795943658999804,0.38199999928474426,55800,4971,,,,
2771426637662612331,0.38999998569488525,58032,5171,,,,
2640054944672936560,0.4580000042915344,59716,5315,,,,
2658181531669839963,0.4620000123977661,61757,5495,,,,
2668550267656736019,0.34599998593330383,62163,5538,,,,
2728554856682695590,0.335999995470047,63000,5610,,,,
2693277407684987531,0.4000000059604645,64284,5714,,,,
2734861852681779224,0.4000000059604645,65443,5826,,,,
2774427764664061440,0.3700000047683716,66524,5927,,,,
2656064317644990313,0.4180000126361847,68277,6093,,,,
2661025964638724437,0.46399998664855957,71089,6321,,,,
2700920070682266605,0.3499999940395355,71394,6353,,,,
2729348123656856896,0.4300000071525574,74093,6597,,,,
2734519678656359531,0.3400000035762787,74279,6614,,,,
2703168247687797534,0.46799999475479126,75720,6740,,,,
2659179724639259643,0.4000000059604645,77110,6863,,,,
2750746224680803715,0.46000000834465027,78643,6986,,,,
2759499907660827473,0.3779999911785126,80271,7121,,,,
2723343408678009990,0.40799999237060547,81209,7212,,,,
2636067674643831403,0.4580000042915344,81605,7245,,,,
2764993389666539833,0.47200000286102295,83455,7420,,,,
2660297013681025371,0.3540000021457672,83771,7456,,,,
2769823578664361256,0.5619999766349792,84055,7482,,,,
2659005880675258831,0.5799999833106995,84221,7496,,,,
2732561399677451720,0.5400000214576721,84423,7518,,,,
2682388564669176810,0.5699999928474426,84681,7536,,,,
2656617996638562489,0.6679999828338623,84887,7559,,,,
2698575069682181861,0.6200000047683716,84918,7563,,,,
2653046521638644170,0.6340000033378601,84932,7564,,,,
2634544967662319110,0.5899999737739563,85029,7574,,,,
2757915552654159878,0.6660000085830688,85305,7598,,,,
2648116295680487780,0.5180000066757202,85397,7609,,,,
2642796500668519417,0.6000000238418579,85758,7646,,,,
2749977734682224934,0.527999997138977,85807,7653,,,,
2704716493649787614,0.6240000128746033,85826,7654,,,,
2768669916660518407,0.5699999928474426,85969,7665,,,,
2757224434662826565,0.6000000238418579,86024,7672,,,,
2741791907663565040,0.5899999737739563,86077,7681,,,,
2732244829654192644,0.6060000061988831,86176,7693,,,,
2666481923639335564,0.5479999780654907,86181,7694,,,,
2756097992646844327,0.5699999928474426,86546,7729,,,,
2708461817638786982,0.5120000243186951,86553,7730,,,,
2754362022657458525,0.5320000052452087,86694,7746,,,,
2722542693650307296,0.5960000157356262,86804,7757,,,,
2657115494647061680,0.6000000238418579,86954,7770,,,,
2756246562674389586,0.5619999766349792,87804,7849,,,,
