galaxy_id,redshift,source_h5_row,bundle_h5_row
2749127639663467086,0.2240000069141388,64,6
2724960338647448663,0.25200000405311584,148,12
2699594623637543835,0.1940000057220459,278,20
2697169064648290576,0.34599998593330383,348,28
2655027633675466513,0.07400000095367432,354,30
2701421579637432167,0.1120000034570694,384,33
2707053117646680208,0.08399999886751175,444,39
2735702397645594840,0.3400000035762787,520,47
2752589324649805463,0.2160000056028366,522,48
2705254725641911523,0.5,537,52
2736195127646559467,0.1979999989271164,592,60
2738406799657245242,0.2160000056028366,632,69
2638232600656188336,0.23000000417232513,637,70
2635683555672917106,0.257999986410141,657,74
2756363200653228148,0.17000000178813934,1101,117
2637407879651186054,0.2840000092983246,1141,122
2659327243663734868,0.15199999511241913,1220,127
2660953326662205470,0.28999999165534973,1282,128
2755346302646468494,0.07599999755620956,1486,140
2664840512654931341,0.18199999630451202,1515,142
2659043998667100591,0.28999999165534973,1604,153
2699276879683615116,0.11400000005960464,1607,154
2694856257675542474,0.3400000035762787,2085,185
2757138600655855895,0.2460000067949295,2213,196
2748381966656213146,0.20399999618530273,2307,204
2709718571681957557,0.30799999833106995,2570,213
2739715212660020818,0.3799999952316284,2616,217
2755864198656087814,0.16200000047683716,2745,225
2668957305655651501,0.3479999899864197,2747,226
2655258024669990738,0.25200000405311584,2799,227
2738875255660151104,0.1379999965429306,2928,237
2725588862661028162,0.20999999344348907,2956,239
2663322737670942761,0.23000000417232513,2982,240
2739562834672928156,0.3540000021457672,3095,248
2717195936656125584,0.23000000417232513,3106,252
2677625689642549057,0.4000000059604645,3178,256
2693979910650394536,0.30799999833106995,3334,266
2745893704652967516,0.17000000178813934,3419,273
2646048692664518604,0.30799999833106995,3458,275
2738449921676747192,0.21799999475479126,3480,278
2655718963639323841,0.1080000028014183,3566,283
2762760415679414315,0.23399999737739563,3630,289
2651466704638427114,0.0820000022649765,3755,305
2671502695645197292,0.16599999368190765,3857,316
2656579731680503055,0.13199999928474426,4059,338
2757038956662448170,0.30000001192092896,4106,343
2651270295645667103,0.30399999022483826,4141,347
2743924561663256931,0.22200000286102295,4227,353
2683127013647014936,0.3700000047683716,4479,368
2689119533641131527,0.25999999046325684,4713,385
2623800328670480643,0.36399999260902405,4780,390
2756760652677587474,0.31200000643730164,4882,397
2713493533641383111,0.25999999046325684,4922,400
2755675158680999748,0.25999999046325684,4955,404
2745273628683517758,0.2199999988079071,5050,412
2690599571648876197,0.22599999606609344,5057,415
2691508672638842763,0.11599999666213989,5087,417
2763447690673240808,0.15199999511241913,5132,425
2669132832672902542,0.09799999743700027,5142,428
2628705364675010433,0.13199999928474426,5192,433
2711366603640713775,0.14800000190734863,5216,434
2748629837668002884,0.4819999933242798,5265,441
2643304926643079632,0.3019999861717224,5361,447
2739376884639326890,0.34599998593330383,5378,450
2626477368650050805,0.09000000357627869,5460,456
