stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84
1,0.8,3.7666901404713036,10.903139578056397,2.0,False,1389,1389,1389,5,0.5619999766349792,0.6759999990463257,0.8379999995231628
2,0.6,4.449930292818871,10.778200841448097,2.0,False,1664,1664,1664,5,0.527999997138977,0.6340000033378601,0.8018399882316586
3,0.4,4.952956283801461,10.602109582392416,1.6371735990110388,False,1862,1862,1862,5,0.4779999852180481,0.5960000157356262,0.7900000214576721
4,0.2,5.421089538566397,10.301079586728434,1.1690403442461026,False,1998,1998,1998,5,0.38999998569488525,0.5400000214576721,0.7279999852180481
5,0.1,5.753382189900575,10.000049591064453,0.8367476929119251,False,2043,2043,2043,5,0.33000001311302185,0.4659999907016754,0.6959999799728394
6,0.03,6.168068649328177,9.477170845784116,0.4220612334843228,True,1655,1655,1655,5,0.2792799997329712,0.3440000116825104,0.4320000112056732
7,0.01,6.438510884908278,9.000049591064453,0.1516189979042215,True,879,879,879,5,0.17696000099182127,0.23000000417232513,0.3019999861717224
