stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,rank,galaxy_id,bundle_index,log_stellar_mass,mass_offset_dex,redshift,cumulative_sfh_distance,has_stamp
1,0.8,3.7666901404713036,10.903139578056397,2.0,False,1,2678711556674304258,13703,10.83240795135498,-0.07073162670141642,1.3339999914169312,0.0651746878713575,True
1,0.8,3.7666901404713036,10.903139578056397,2.0,False,2,2703488790670980759,13681,10.79566764831543,-0.1074719297409672,1.1699999570846558,0.09339241630930051,True
1,0.8,3.7666901404713036,10.903139578056397,2.0,False,3,2659854720684798410,13716,10.928716659545898,0.025577081489501552,1.378000020980835,0.10074687002784125,True
1,0.8,3.7666901404713036,10.903139578056397,2.0,False,4,2649173403675031662,11290,10.7650728225708,-0.1380667554855961,0.8320000171661377,0.1703850726794193,True
1,0.8,3.7666901404713036,10.903139578056397,2.0,False,5,2634119826667500832,13712,11.049838066101074,0.14669848804467733,1.3359999656677246,0.20888655856813948,True
2,0.6,4.449930292818871,10.778200841448097,2.0,False,1,2678711556674304258,13703,10.83240795135498,0.05420710990688349,1.3339999914169312,0.246316488652556,True
2,0.6,4.449930292818871,10.778200841448097,2.0,False,2,2741447642657085578,13677,10.69784164428711,-0.0803591971609876,1.1540000438690186,0.2754387118181385,True
2,0.6,4.449930292818871,10.778200841448097,2.0,False,3,2629425863659052113,13648,10.631691932678223,-0.14650890876987432,1.184000015258789,0.27680676741893173,True
2,0.6,4.449930292818871,10.778200841448097,2.0,False,4,2703488790670980759,13681,10.79566764831543,0.017466806867332707,1.1699999570846558,0.27976635550122037,True
2,0.6,4.449930292818871,10.778200841448097,2.0,False,5,2652718793642424678,13708,10.689908981323242,-0.08829186012485479,1.3700000047683716,0.29101482042935545,True
3,0.4,4.952956283801461,10.602109582392416,1.6371735990110388,False,1,2716117201644464606,13713,10.577238082885742,-0.024871499506673445,1.350000023841858,0.25841314027560996,True
3,0.4,4.952956283801461,10.602109582392416,1.6371735990110388,False,2,2754251518642661053,13623,10.532402992248535,-0.06970659014388048,1.25,0.35558036947644733,True
3,0.4,4.952956283801461,10.602109582392416,1.6371735990110388,False,3,2748216818639415066,13700,10.542264938354492,-0.059844644037923445,1.2660000324249268,0.36796638768297746,True
3,0.4,4.952956283801461,10.602109582392416,1.6371735990110388,False,4,2674024524656252959,13652,10.494312286376953,-0.10779729601546251,1.1180000305175781,0.38485386335165506,True
3,0.4,4.952956283801461,10.602109582392416,1.6371735990110388,False,5,2741447642657085578,13677,10.69784164428711,0.09573206189469374,1.1540000438690186,0.38930909926806045,True
4,0.2,5.421089538566397,10.301079586728434,1.1690403442461026,False,1,2741023943678283074,13629,10.259780883789062,-0.04129870293937188,1.194000005722046,0.32278661756507254,True
4,0.2,5.421089538566397,10.301079586728434,1.1690403442461026,False,2,2656685702653947484,13654,10.280752182006836,-0.02032740472159844,1.121999979019165,0.36081134524136493,True
4,0.2,5.421089538566397,10.301079586728434,1.1690403442461026,False,3,2640109785664925808,13707,10.349495887756348,0.04841630102791328,1.4780000448226929,0.3780188539964662,True
4,0.2,5.421089538566397,10.301079586728434,1.1690403442461026,False,4,2717353722653902287,13682,10.230218887329102,-0.07086069939933282,1.1979999542236328,0.40714206220747384,True
4,0.2,5.421089538566397,10.301079586728434,1.1690403442461026,False,5,2653905751651371339,11832,10.179885864257812,-0.12119372247062188,0.8420000076293945,0.41888287300847454,True
5,0.1,5.753382189900575,10.000049591064453,0.8367476929119251,False,1,2647131718660160391,13641,10.030768394470215,0.03071880340576172,1.1699999570846558,0.3466597885678056,True
5,0.1,5.753382189900575,10.000049591064453,0.8367476929119251,False,2,2650234495658951302,13302,9.930355072021484,-0.06969451904296875,1.0099999904632568,0.3807592914329568,True
5,0.1,5.753382189900575,10.000049591064453,0.8367476929119251,False,3,2647176063640000279,13626,9.946571350097656,-0.053478240966796875,1.2400000095367432,0.3859161301797993,True
5,0.1,5.753382189900575,10.000049591064453,0.8367476929119251,False,4,2684931694682266433,13483,10.088583946228027,0.08853435516357422,0.984000027179718,0.40798301719896696,True
5,0.1,5.753382189900575,10.000049591064453,0.8367476929119251,False,5,2658189408677769790,13714,10.072080612182617,0.07203102111816406,1.4639999866485596,0.4104219692908875,True
6,0.03,6.168068649328177,9.477170845784116,0.4220612334843228,True,1,2648545772681764910,13209,9.39389705657959,-0.08327378920452588,0.9940000176429749,0.2884149147475799,True
6,0.03,6.168068649328177,9.477170845784116,0.4220612334843228,True,2,2647975483685285807,9495,9.43640422821045,-0.04076661757366651,0.5099999904632568,0.2977725815202781,True
6,0.03,6.168068649328177,9.477170845784116,0.4220612334843228,True,3,2740268308665100250,12261,9.467595100402832,-0.009575745381283696,0.7599999904632568,0.33676542126831627,True
6,0.03,6.168068649328177,9.477170845784116,0.4220612334843228,True,4,2753054265674679912,11124,9.499979972839355,0.022809127055239742,0.5600000023841858,0.34647977352968123,True
6,0.03,6.168068649328177,9.477170845784116,0.4220612334843228,True,5,2729264667640595011,13014,9.489263534545898,0.01209268876178271,0.7599999904632568,0.3493981816524322,True
