galaxy_id,cluster,phz_log_sfr,phz_log_stellar_mass,phz_log_ssfr,valid
2770453485666155541,3,0.5963538885116577,10.31374740600586,-9.717393517494202,True
2768600408664943983,1,0.12726733088493347,9.586265563964844,-9.45899823307991,True
2770981326663808811,3,0.7090185880661011,10.94849681854248,-10.23947823047638,True
2748306814661872930,1,-0.38767921924591064,9.606051445007324,-9.993730664253235,True
2749472010662062662,2,-0.164068341255188,9.572876930236816,-9.736945271492004,True
2748983029662663438,3,0.24868597090244293,9.919439315795898,-9.670753344893456,True
2749127639663467086,1,-0.5510267615318298,8.908605575561523,-9.459632337093353,True
2663447942664315863,3,-0.3994273245334625,9.558004379272461,-9.957431703805923,True
2664539060666165398,3,0.4078712463378906,10.713946342468262,-10.306075096130371,True
2736289516642765335,1,-0.15079176425933838,9.593706130981445,-9.744497895240784,True
2698599688647004245,2,0.7249001264572144,10.055806159973145,-9.33090603351593,True
2698346970647020371,1,-0.38571542501449585,9.973711013793945,-10.359426438808441,True
2724960338647448663,1,-0.44598713517189026,9.164649963378906,-9.610637098550797,True
2735903093642189455,3,-0.4087064564228058,9.8919038772583,-10.300610333681107,True
2738223160642021049,1,0.5456292033195496,8.438773155212402,-7.893143951892853,True
2714817397678808539,3,-0.01773282140493393,10.032805442810059,-10.050538264214993,True
2700041737651508119,2,-0.2741975784301758,9.65551471710205,-9.929712295532227,True
2724697682648344993,2,0.27356988191604614,10.035294532775879,-9.761724650859833,True
2635334184654451268,3,0.38955259323120117,10.286650657653809,-9.897098064422607,True
2630569001653946001,2,-1.46622896194458,8.444132804870605,-9.910361766815186,True
2699594623637543835,1,-0.5191690921783447,9.001374244689941,-9.520543336868286,True
2634271490655794352,3,0.5839210748672485,10.247075080871582,-9.663154006004333,True
2730530513645216604,3,-0.9809865951538086,10.846954345703125,-11.827940940856934,True
2728018951657407340,2,-0.760809600353241,9.76610279083252,-10.52691239118576,True
2732742801646179758,2,0.8073982000350952,10.431346893310547,-9.623948693275452,True
2660170129674235009,2,0.6734340786933899,9.833959579467773,-9.160525500774384,True
2694917772648210026,1,-0.3898433744907379,9.248958587646484,-9.638801962137222,True
2763734840666177672,1,-1.0946376323699951,8.403990745544434,-9.498628377914429,True
2697169064648290576,1,-0.2821974754333496,9.499131202697754,-9.781328678131104,True
2761738472663870829,2,0.2677319049835205,9.838501930236816,-9.570770025253296,True
2655027633675466513,1,-1.8688970804214478,8.200058937072754,-10.068956017494202,True
2732796391657983787,1,-0.26125577092170715,9.495532035827637,-9.756787806749344,True
2762022806664672820,1,0.2520865201950073,9.55424690246582,-9.302160382270813,True
2701421579637432167,1,-1.1579418182373047,8.703203201293945,-9.86114501953125,True
2657617697674550934,1,0.035316258668899536,9.056717872619629,-9.02140161395073,True
2654019302673902276,2,0.32137101888656616,9.972407341003418,-9.651036322116852,True
2696916906648001674,3,0.116715207695961,10.030701637268066,-9.913986429572105,True
2655603104673792427,1,-0.31007957458496094,9.1532564163208,-9.463335990905762,True
2657362903675514014,1,-0.09165790677070618,9.488725662231445,-9.580383569002151,True
2707053117646680208,1,-1.7054030895233154,7.807285785675049,-9.512688875198364,True
2732912758657252571,3,-1.4783544540405273,10.651286125183105,-12.129640579223633,True
2670144529677943766,2,0.056390225887298584,9.16235637664795,-9.10596615076065,True
2702445786641907102,1,-0.8893892765045166,8.655935287475586,-9.545324563980103,True
2723445501640108922,2,-0.2736642360687256,9.49708366394043,-9.770747900009155,True
2700520354638106083,2,-0.39274558424949646,9.126571655273438,-9.519317239522934,True
2659725226674857770,2,-0.09477027505636215,9.645193099975586,-9.739963375031948,True
2756454033648937125,2,0.22409267723560333,9.953967094421387,-9.729874417185783,True
2735702397645594840,1,0.10052043944597244,9.505074501037598,-9.404554061591625,True
2752589324649805463,1,-0.3185063600540161,8.788755416870117,-9.107261776924133,True
2734623743657322236,1,-0.7784870862960815,9.017866134643555,-9.796353220939636,True
2731214238645505901,3,-0.4660753607749939,10.360955238342285,-10.827030599117279,True
2700607275641854176,3,-1.0457593202590942,10.183320999145508,-11.229080319404602,True
2705254725641911523,1,0.24010348320007324,9.615132331848145,-9.375028848648071,True
2658917245674449496,1,-0.9864078760147095,8.904793739318848,-9.891201615333557,True
2705037171642463300,1,0.0651991218328476,9.15014362335205,-9.084944501519203,True
2764925957665193348,1,-0.43653765320777893,9.476584434509277,-9.913122087717056,True
2762989554665680949,1,0.23584125936031342,9.536437034606934,-9.30059577524662,True
2751689781651088708,2,0.1405576765537262,9.612495422363281,-9.471937745809555,True
2755975823649840701,3,0.11751844733953476,10.543519020080566,-10.426000572741032,True
2635213533671953548,1,-0.12235641479492188,8.892069816589355,-9.014426231384277,True
2736195127646559467,1,-0.9499833583831787,8.889457702636719,-9.839441061019897,True
2732588986647029127,1,-0.18069206178188324,9.4119291305542,-9.592621192336082,True
2737659803646729959,3,0.22768397629261017,10.788447380065918,-10.560763403773308,True
2738009787648360549,3,0.13264061510562897,10.30529499053955,-10.172654375433922,True
2708352809648030378,1,-0.883175253868103,8.628490447998047,-9.51166570186615,True
2637505753653796511,2,0.9278520941734314,10.158952713012695,-9.231100618839264,True
2736928995656444868,1,-1.8118362426757812,8.749899864196777,-10.561736106872559,True
2701407207642199204,1,-0.43666839599609375,9.514966011047363,-9.951634407043457,True
2753674058649809658,1,-0.25172728300094604,9.303105354309082,-9.554832637310028,True
2738406799657245242,1,-0.31664222478866577,9.342463493347168,-9.659105718135834,True
2638232600656188336,1,-0.4740189015865326,9.183783531188965,-9.657802432775497,True
2736100449658173207,2,-0.12324119359254837,9.68310546875,-9.806346662342548,True
2641674706655581693,1,-0.550180971622467,9.441675186157227,-9.991856157779694,True
2643430004684950693,2,-0.15959370136260986,9.791015625,-9.95060932636261,True
2635683555672917106,1,0.004017144441604614,9.196964263916016,-9.192947119474411,True
2635165448672449604,2,0.5987194776535034,9.7258939743042,-9.127174496650696,True
2760776060645545020,3,-0.5617476105690002,9.933642387390137,-10.495389997959137,True
2759859274644149328,2,0.6097934246063232,10.1954345703125,-9.585641145706177,True
2646711848684699612,3,-1.21688973903656,9.587469100952148,-10.804358839988708,True
2732582752642437017,2,-0.28480038046836853,9.840616226196289,-10.125416606664658,True
2669934132650972235,3,-0.9388814568519592,10.137924194335938,-11.076805651187897,True
2736237535653043237,2,-0.15378256142139435,9.291820526123047,-9.445603087544441,True
2737105002656350894,2,0.3536258339881897,9.867859840393066,-9.514234006404877,True
2642815698645743890,1,-1.1490429639816284,8.91243839263916,-10.061481356620789,True
2640037496643905020,2,-1.4024142026901245,8.967135429382324,-10.369549632072449,True
2738365686684122639,1,-0.1319049447774887,9.614969253540039,-9.746874198317528,True
2641951414645417182,3,0.7375670671463013,10.326138496398926,-9.588571429252625,True
2736579548684527278,1,0.07656817138195038,9.58242130279541,-9.50585313141346,True
2673003997649439657,1,0.13228139281272888,9.161615371704102,-9.029333978891373,True
2643807157684568942,2,-0.5187402367591858,9.273207664489746,-9.791947901248932,True
2645677452684925438,2,1.3188817501068115,9.727904319763184,-8.409022569656372,True
2738111072652368366,2,-0.2000485509634018,9.43238353729248,-9.632432088255882,True
2733875566678464482,2,0.15887902677059174,9.617877006530762,-9.45899797976017,True
2659855114641078293,3,-0.3387868404388428,10.209931373596191,-10.548718214035034,True
2741210809685525785,3,-0.5514844655990601,9.613442420959473,-10.164926886558533,True
2645456783642505247,2,0.6783174276351929,10.450428009033203,-9.77211058139801,True
2681125444644622772,2,0.07135733217000961,9.410218238830566,-9.338860906660557,True
2650040945648659179,2,-0.18597112596035004,9.122451782226562,-9.308422908186913,True
2679167299644931539,2,0.17186498641967773,10.054275512695312,-9.882410526275635,True
2638906396649632034,2,0.282563179731369,10.165145874023438,-9.882582694292068,True
2739717813684070763,2,-0.19756633043289185,9.410036087036133,-9.607602417469025,True
2662847022640564950,2,0.586436927318573,9.977112770080566,-9.390675842761993,True
