stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.99,1.2177604778033373,11.4834310243705,2.0,False,167,167,167,5,0.7831999778747559,0.8700000047683716,0.9739999771118164,0.1916509671146137
2,0.98,1.4471565235603687,11.479021905465444,2.0,False,168,168,168,5,0.78447998046875,0.8700000047683716,0.9739999771118164,0.1916509671146137
3,0.97,1.62251244430297,11.474567564039194,2.0,False,173,173,173,5,0.7887199997901917,0.8700000047683716,0.9752799987792968,0.1916509671146137
4,0.96,1.7712876319788848,11.470067062812518,2.0,False,175,175,175,5,0.7893600106239319,0.8700000047683716,0.9746399879455566,0.1916509671146137
5,0.95,1.9126013579498,11.465519435061797,2.0,False,183,183,183,5,0.7799199724197388,0.8679999709129333,0.9740799784660339,0.1916509671146137
6,0.9,2.3760672016434934,11.442038339212274,2.0,False,210,210,210,5,0.7785599899291992,0.8679999709129333,0.9739999771118164,0.24484822109762883
7,0.85,2.5963491920123523,11.417214755487242,2.0,False,240,240,240,5,0.7301600170135498,0.8640000224113464,0.9656800198554992,0.34539504595509063
8,0.8,2.781378932498037,11.390885816764893,2.0,False,275,275,275,5,0.7300000190734863,0.8640000224113464,0.9620000123977661,0.34539504595509063
9,0.6,3.3099176527391485,11.265947080156593,2.0,False,481,481,481,5,0.6840000152587891,0.8379999995231628,0.9300000071525574,1.4901504190960542
10,0.4,3.7812685691106647,11.089855821100912,2.0,False,856,856,856,5,0.6115999937057496,0.7680000066757202,0.8740000128746033,1.5638488638846684
11,0.2,4.190928751837296,10.78882582543693,1.892306111443954,False,1653,1653,1653,5,0.527999997138977,0.6380000114440918,0.8093600106239316,1.7650968407574488
12,0.1,4.456677464201617,10.48779582977295,1.6265573990796334,False,1938,1938,1938,5,0.44999998807907104,0.578000009059906,0.7519999742507935,1.5215733188293181
13,0.03,4.800412353485627,9.964917084492612,1.282822509795623,False,2036,2036,2036,5,0.33000001311302185,0.4519999921321869,0.6807999968528745,1.6231027140978829
14,0.01,5.017367828187514,9.48779582977295,1.0658670350937358,False,1664,1664,1664,5,0.28200000524520874,0.34599998593330383,0.4338399875164029,1.7718493081294908
