stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,rank,galaxy_id,bundle_index,log_stellar_mass,mass_offset_dex,redshift,phz_log_ssfr,phz_delta_ms,cumulative_sfh_distance,has_stamp
1,0.99,1.2177604778033373,11.4834310243705,2.0,False,1,2657341564675389272,13711,11.554378509521484,0.07094748515098459,1.4279999732971191,-8.225725412368774,1.896983893773251,0.020075887859991738,True
1,0.99,1.2177604778033373,11.4834310243705,2.0,False,2,2629988314650061118,13664,11.517297744750977,0.03386672038047678,1.1399999856948853,-11.782503932714462,-1.5078315105303388,0.024035408998892956,True
1,0.99,1.2177604778033373,11.4834310243705,2.0,False,3,2680349468684373793,13676,11.47381591796875,-0.009615106401749784,1.2039999961853027,-19.85195541381836,-9.630067713542001,0.04930120104762502,True
1,0.99,1.2177604778033373,11.4834310243705,2.0,False,4,2679999003645616349,13274,11.364913940429688,-0.11851708394081228,0.9399999976158142,-10.17921495437622,0.1916509671146137,0.052278098902086186,True
1,0.99,1.2177604778033373,11.4834310243705,2.0,False,5,2659169881683102069,13535,11.33529281616211,-0.1481382082083904,0.9599999785423279,-10.049439668655396,0.2965924988977239,0.06524248894980321,True
2,0.98,1.4471565235603687,11.479021905465444,2.0,False,1,2657341564675389272,13711,11.554378509521484,0.07535660405604006,1.4279999732971191,-8.225725412368774,1.896983893773251,0.05712602742428444,True
2,0.98,1.4471565235603687,11.479021905465444,2.0,False,2,2629988314650061118,13664,11.517297744750977,0.03827583928553224,1.1399999856948853,-11.782503932714462,-1.5078315105303388,0.06123782975034078,True
2,0.98,1.4471565235603687,11.479021905465444,2.0,False,3,2680349468684373793,13676,11.47381591796875,-0.00520598749669432,1.2039999961853027,-19.85195541381836,-9.630067713542001,0.08650362179907285,True
2,0.98,1.4471565235603687,11.479021905465444,2.0,False,4,2679999003645616349,13274,11.364913940429688,-0.11410796503575682,0.9399999976158142,-10.17921495437622,0.1916509671146137,0.08948051965353401,True
2,0.98,1.4471565235603687,11.479021905465444,2.0,False,5,2659169881683102069,13535,11.33529281616211,-0.14372908930333494,0.9599999785423279,-10.049439668655396,0.2965924988977239,0.10244490970125103,True
3,0.97,1.62251244430297,11.474567564039194,2.0,False,1,2657341564675389272,13711,11.554378509521484,0.07981094548228995,1.4279999732971191,-8.225725412368774,1.896983893773251,0.09065684070481143,True
3,0.97,1.62251244430297,11.474567564039194,2.0,False,2,2629988314650061118,13664,11.517297744750977,0.04273018071178214,1.1399999856948853,-11.782503932714462,-1.5078315105303388,0.09476864303086777,True
3,0.97,1.62251244430297,11.474567564039194,2.0,False,3,2753609074678883272,13663,11.326067924499512,-0.1484996395396827,1.100000023841858,-9.998972296714783,0.24484822109762883,0.10579474236817153,True
3,0.97,1.62251244430297,11.474567564039194,2.0,False,4,2680349468684373793,13676,11.47381591796875,-0.0007516460704444228,1.2039999961853027,-19.85195541381836,-9.630067713542001,0.12003443507959986,True
3,0.97,1.62251244430297,11.474567564039194,2.0,False,5,2679999003645616349,13274,11.364913940429688,-0.10965362360950692,0.9399999976158142,-10.17921495437622,0.1916509671146137,0.12301133293406104,True
4,0.96,1.7712876319788848,11.470067062812518,2.0,False,1,2657341564675389272,13711,11.554378509521484,0.08431144670896629,1.4279999732971191,-8.225725412368774,1.896983893773251,0.12293688331412134,True
4,0.96,1.7712876319788848,11.470067062812518,2.0,False,2,2629988314650061118,13664,11.517297744750977,0.047230681938458474,1.1399999856948853,-11.782503932714462,-1.5078315105303388,0.1270486856401777,True
4,0.96,1.7712876319788848,11.470067062812518,2.0,False,3,2753609074678883272,13663,11.326067924499512,-0.14399913831300637,1.100000023841858,-9.998972296714783,0.24484822109762883,0.13807478497748146,True
4,0.96,1.7712876319788848,11.470067062812518,2.0,False,4,2680349468684373793,13676,11.47381591796875,0.0037488551562319117,1.2039999961853027,-19.85195541381836,-9.630067713542001,0.15231447768890977,True
4,0.96,1.7712876319788848,11.470067062812518,2.0,False,5,2679999003645616349,13274,11.364913940429688,-0.10515312238283059,0.9399999976158142,-10.17921495437622,0.1916509671146137,0.1552913755433709,True
5,0.95,1.9126013579498,11.465519435061797,2.0,False,1,2657341564675389272,13711,11.554378509521484,0.08885907445968755,1.4279999732971191,-8.225725412368774,1.896983893773251,0.15814276073703235,True
5,0.95,1.9126013579498,11.465519435061797,2.0,False,2,2629988314650061118,13664,11.517297744750977,0.051778309689179736,1.1399999856948853,-11.782503932714462,-1.5078315105303388,0.16225456306308872,True
5,0.95,1.9126013579498,11.465519435061797,2.0,False,3,2753609074678883272,13663,11.326067924499512,-0.1394515105622851,1.100000023841858,-9.998972296714783,0.24484822109762883,0.17328066240039244,True
5,0.95,1.9126013579498,11.465519435061797,2.0,False,4,2680349468684373793,13676,11.47381591796875,0.008296482906953173,1.2039999961853027,-19.85195541381836,-9.630067713542001,0.18752035511182075,True
5,0.95,1.9126013579498,11.465519435061797,2.0,False,5,2679999003645616349,13274,11.364913940429688,-0.10060549463210933,0.9399999976158142,-10.17921495437622,0.1916509671146137,0.19049725296628192,True
6,0.9,2.3760672016434934,11.442038339212274,2.0,False,1,2657341564675389272,13711,11.554378509521484,0.11234017030920995,1.4279999732971191,-8.225725412368774,1.896983893773251,0.29774932137460886,True
6,0.9,2.3760672016434934,11.442038339212274,2.0,False,2,2629988314650061118,13664,11.517297744750977,0.07525940553870214,1.1399999856948853,-11.782503932714462,-1.5078315105303388,0.3018611237006652,True
6,0.9,2.3760672016434934,11.442038339212274,2.0,False,3,2753609074678883272,13663,11.326067924499512,-0.1159704147127627,1.100000023841858,-9.998972296714783,0.24484822109762883,0.31288722303796895,True
6,0.9,2.3760672016434934,11.442038339212274,2.0,False,4,2629978457672400278,13661,11.30051040649414,-0.1415279327181338,1.24399995803833,-8.63187026977539,1.516560014031874,0.3135318615177396,True
6,0.9,2.3760672016434934,11.442038339212274,2.0,False,5,2680349468684373793,13676,11.47381591796875,0.03177757875647558,1.2039999961853027,-19.85195541381836,-9.630067713542001,0.3271269157493973,True
7,0.85,2.5963491920123523,11.417214755487242,2.0,False,1,2657341564675389272,13711,11.554378509521484,0.1371637540342423,1.4279999732971191,-8.225725412368774,1.896983893773251,0.36318213389356596,True
7,0.85,2.5963491920123523,11.417214755487242,2.0,False,2,2661553940681930095,13340,11.269060134887695,-0.14815462059954676,1.0019999742507935,-9.948730230331421,0.34539504595509063,0.3670493524840446,True
7,0.85,2.5963491920123523,11.417214755487242,2.0,False,3,2629988314650061118,13664,11.517297744750977,0.10008298926373449,1.1399999856948853,-11.782503932714462,-1.5078315105303388,0.36729393621962225,True
7,0.85,2.5963491920123523,11.417214755487242,2.0,False,4,2753609074678883272,13663,11.326067924499512,-0.09114683098773035,1.100000023841858,-9.998972296714783,0.24484822109762883,0.37832003555692606,True
7,0.85,2.5963491920123523,11.417214755487242,2.0,False,5,2629978457672400278,13661,11.30051040649414,-0.11670434899310145,1.24399995803833,-8.63187026977539,1.516560014031874,0.3789646740366967,True
8,0.8,2.781378932498037,11.390885816764893,2.0,False,1,2687660514646090429,13622,11.253368377685547,-0.1375174390793461,1.100000023841858,-8.268327236175537,1.953700755804372,0.4132333743498152,True
8,0.8,2.781378932498037,11.390885816764893,2.0,False,2,2661553940681930095,13340,11.269060134887695,-0.12182568187719767,1.0019999742507935,-9.948730230331421,0.34539504595509063,0.4229655597605151,True
8,0.8,2.781378932498037,11.390885816764893,2.0,False,3,2629988314650061118,13664,11.517297744750977,0.12641192798608358,1.1399999856948853,-11.782503932714462,-1.5078315105303388,0.42321014349609276,True
8,0.8,2.781378932498037,11.390885816764893,2.0,False,4,2753609074678883272,13663,11.326067924499512,-0.06481789226538126,1.100000023841858,-9.998972296714783,0.24484822109762883,0.4342362428333965,True
8,0.8,2.781378932498037,11.390885816764893,2.0,False,5,2629978457672400278,13661,11.30051040649414,-0.09037541027075235,1.24399995803833,-8.63187026977539,1.516560014031874,0.43488088131316716,True
9,0.6,3.3099176527391485,11.265947080156593,2.0,False,1,2752932503672282693,13710,11.230269432067871,-0.03567764808872198,1.4199999570846558,-9.102234363555908,0.935470349404993,0.4417837830894502,True
9,0.6,3.3099176527391485,11.265947080156593,2.0,False,2,2729616490656652562,13706,11.164379119873047,-0.1015679602835462,1.3799999952316284,-8.353934049606323,1.6847534641588218,0.4617418257089527,True
9,0.6,3.3099176527391485,11.265947080156593,2.0,False,3,2687172945690876494,13709,11.202493667602539,-0.06345341255405401,1.3320000171661377,-8.58309531211853,1.4901504190960542,0.46430833730518156,True
9,0.6,3.3099176527391485,11.265947080156593,2.0,False,4,2625516708652182031,13705,11.157588958740234,-0.1083581214163587,1.4179999828338623,-8.117363214492798,1.901331925710139,0.5293445408598196,True
9,0.6,3.3099176527391485,11.265947080156593,2.0,False,5,2768058485667737632,13164,11.177051544189453,-0.08889553596713995,0.972000002861023,-9.190163493156433,1.097298454920748,0.5325108426172369,True
10,0.4,3.7812685691106647,11.089855821100912,2.0,False,1,2753316360680891979,13704,11.075105667114258,-0.014750153986653913,1.472000002861023,-8.203196287155151,1.7685034134562216,0.4924586449842945,True
10,0.4,3.7812685691106647,11.089855821100912,2.0,False,2,2634119826667500832,13712,11.049838066101074,-0.04001775499983751,1.3359999656677246,-8.464562892913818,1.5638488638846684,0.5559353450508868,True
10,0.4,3.7812685691106647,11.089855821100912,2.0,False,3,2752932503672282693,13710,11.230269432067871,0.14041361096695937,1.4199999570846558,-9.102234363555908,0.935470349404993,0.5610204266774831,True
10,0.4,3.7812685691106647,11.089855821100912,2.0,False,4,2729616490656652562,13706,11.164379119873047,0.07452329877213515,1.3799999952316284,-8.353934049606323,1.6847534641588218,0.5809784692969856,True
10,0.4,3.7812685691106647,11.089855821100912,2.0,False,5,2687172945690876494,13709,11.202493667602539,0.11263784650162734,1.3320000171661377,-8.58309531211853,1.4901504190960542,0.5835449808932145,True
11,0.2,4.190928751837296,10.78882582543693,1.892306111443954,False,1,2678711556674304258,13703,10.83240795135498,0.043582125918049996,1.3339999914169312,-8.20333194732666,1.7650968407574488,0.4891866198779746,True
11,0.2,4.190928751837296,10.78882582543693,1.892306111443954,False,2,2741447642657085578,13677,10.69784164428711,-0.0909841811498211,1.1540000438690186,-8.284204959869385,1.7398074074268792,0.5160710615668267,True
11,0.2,4.190928751837296,10.78882582543693,1.892306111443954,False,3,2703488790670980759,13681,10.79566764831543,0.006841822878499215,1.1699999570846558,-8.407060146331787,1.6366662844041477,0.5210824249260342,True
11,0.2,4.190928751837296,10.78882582543693,1.892306111443954,False,4,2659854720684798410,13716,10.928716659545898,0.13989083410896797,1.378000020980835,-8.209156036376953,1.7651531074789948,0.5303861935549969,True
11,0.2,4.190928751837296,10.78882582543693,1.892306111443954,False,5,2652718793642424678,13708,10.689908981323242,-0.09891684411368828,1.3700000047683716,-8.066347360610962,1.845379789268509,0.5320379742185963,True
12,0.1,4.456677464201617,10.48779582977295,1.6265573990796334,False,1,2716117201644464606,13713,10.577238082885742,0.08944225311279297,1.350000023841858,-8.430529594421387,1.4589546513658234,0.44321312060281204,True
12,0.1,4.456677464201617,10.48779582977295,1.6265573990796334,False,2,2640109785664925808,13707,10.349495887756348,-0.13829994201660156,1.4780000448226929,-8.019483089447021,1.753228896901947,0.47274497851257546,True
12,0.1,4.456677464201617,10.48779582977295,1.6265573990796334,False,3,2735200012646842655,13634,10.424372673034668,-0.06342315673828125,1.1239999532699585,-8.43834102153778,1.5215733188293181,0.5361930618411833,True
12,0.1,4.456677464201617,10.48779582977295,1.6265573990796334,False,4,2700862331672375126,13655,10.392598152160645,-0.09519767761230469,1.2680000066757202,-8.576595783233643,1.299249346367382,0.5387599691299592,True
12,0.1,4.456677464201617,10.48779582977295,1.6265573990796334,False,5,2754251518642661053,13623,10.532402992248535,0.04460716247558594,1.25,-8.072330474853516,1.8523654778222078,0.539927699874263,True
13,0.03,4.800412353485627,9.964917084492612,1.282822509795623,False,1,2647131718660160391,13641,10.030768394470215,0.06585130997760302,1.1699999570846558,-8.192909002304077,1.6263188369991526,0.48538705053620523,True
13,0.03,4.800412353485627,9.964917084492612,1.282822509795623,False,2,2766281064676170516,13650,9.845746040344238,-0.11917104414837354,1.1380000114440918,-8.042246699333191,1.7384314264400218,0.5015113147390206,True
13,0.03,4.800412353485627,9.964917084492612,1.282822509795623,False,3,2650234495658951302,13302,9.930355072021484,-0.034562012471127446,1.0099999904632568,-8.515605092048645,1.3597371469292585,0.5253015486606865,True
13,0.03,4.800412353485627,9.964917084492612,1.282822509795623,False,4,2647176063640000279,13626,9.946571350097656,-0.01834573439495557,1.2400000095367432,-8.138103246688843,1.6231027140978829,0.5376287877100681,True
13,0.03,4.800412353485627,9.964917084492612,1.282822509795623,False,5,2708364677681344616,13168,9.824572563171387,-0.1403445213212251,0.9200000166893005,-8.517350673675537,1.3793198739447372,0.5401887004372679,True
14,0.01,5.017367828187514,9.48779582977295,1.0658670350937358,False,1,2648545772681764910,13209,9.39389705657959,-0.09389877319335938,0.9940000176429749,-7.933144807815552,1.7851928284375753,0.5364533978877178,True
14,0.01,5.017367828187514,9.48779582977295,1.0658670350937358,False,2,2647975483685285807,9495,9.43640422821045,-0.0513916015625,0.5099999904632568,-8.741430282592773,1.339299803474359,0.5492383559246751,True
14,0.01,5.017367828187514,9.48779582977295,1.0658670350937358,False,3,2740268308665100250,12261,9.467595100402832,-0.020200729370117188,0.7599999904632568,-8.114611625671387,1.7718493081294908,0.592715803188002,True
14,0.01,5.017367828187514,9.48779582977295,1.0658670350937358,False,4,2729264667640595011,13014,9.489263534545898,0.0014677047729492188,0.7599999904632568,-8.114611387252808,1.7791713700094447,0.608663547666185,True
14,0.01,5.017367828187514,9.48779582977295,1.0658670350937358,False,5,2753054265674679912,11124,9.499979972839355,0.01218414306640625,0.5600000023841858,-8.87170934677124,1.1863394566258676,0.6229925372585047,True
