stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,2.0588535254122053,10.65362883294998,2.0,False,1834,1834,1834,5,0.5059999823570251,0.6019999980926514,0.7900000214576721,1.2700310205473726
2,0.9,2.9839262791364423,10.630147737100458,2.0,False,1848,1848,1848,5,0.49399998784065247,0.6019999980926514,0.7892800092697141,1.0437710308651158
3,0.85,3.583966176406995,10.605324153375426,2.0,False,1866,1866,1866,5,0.48047999024391175,0.5960000157356262,0.7900000214576721,1.369420330182955
4,0.8,4.035985689802215,10.578995214653077,2.0,False,1876,1876,1876,5,0.4716800022125245,0.593999981880188,0.7900000214576721,1.5514066917019966
5,0.6,5.149445776903705,10.454056478044777,2.0,False,1957,1957,1957,5,0.44600000977516174,0.5740000009536743,0.75,1.5215733188293181
6,0.4,5.8895566977449905,10.277965218989095,2.0,False,2009,2009,2009,5,0.3840000033378601,0.5400000214576721,0.7260000109672546,1.753228896901947
7,0.2,6.54198535476604,9.976935223325114,1.49950097335896,False,2037,2037,2037,5,0.33000001311302185,0.4580000042915344,0.6880000233650208,1.6231027140978829
8,0.1,6.885906943550774,9.675905227661133,1.1555793845742262,False,1789,1789,1789,5,0.31200000643730164,0.3799999952316284,0.5198399829864498,1.4453937756721236
9,0.03,7.376318301240882,9.153026482380795,0.6651680268841176,False,1191,1191,1191,5,0.20800000429153442,0.2720000147819519,0.3499999940395355,1.7243391866978617
