descendant_id,descendant_bundle_index,stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median,analogue_centroid_x,analogue_centroid_y,median_cumulative_sfh_distance,best_cumulative_sfh_distance
2724504764655222190,176,1,0.99,4.375962144375768,9.906432313738176,2.0,False,2024,2024,2024,5,0.33000001311302185,0.4399999976158142,0.6520000100135803,0.9209370630070269,8.708135604858398,2.382178544998169,0.025719568277985733,0.025453820557458165
2724504764655222190,176,2,0.98,4.651054513041737,9.90202319483312,2.0,False,2021,2021,2021,5,0.33000001311302185,0.4399999976158142,0.6499999761581421,1.263724188987759,11.38815689086914,4.366255760192871,0.026182867175006338,0.024827766435100568
2724504764655222190,176,3,0.97,4.862210584347391,9.89756885340687,2.0,False,2016,2016,2016,5,0.33000001311302185,0.4399999976158142,0.6480000019073486,1.3091303912112475,13.212610244750977,4.9682393074035645,0.024468573452467834,0.023848920585193056
2724504764655222190,176,4,0.96,4.962916639631453,9.893068352180194,2.0,False,2005,2005,2005,5,0.33000001311302185,0.4399999976158142,0.6490399885177612,1.098331023628766,13.408563613891602,7.140607833862305,0.023761976838155716,0.02164001260378539
2724504764655222190,176,5,0.95,5.062666308925451,9.888520724429473,2.0,False,2003,2003,2003,5,0.33000001311302185,0.4399999976158142,0.6480000019073486,1.098331023628766,13.698577880859375,7.140607833862305,0.0233152391768574,0.021634720807661535
2724504764655222190,176,6,0.9,5.409683745618713,9.86503962857995,2.0,False,2019,2019,2019,5,0.33000001311302185,0.4310000091791153,0.616559989452362,1.3359451465042356,16.80052947998047,7.560459613800049,0.025818136523469065,0.022708467712949255
2724504764655222190,176,7,0.85,5.63516836095207,9.840216044854918,2.0,False,1994,1994,1994,5,0.33000001311302185,0.4300000071525574,0.6085599899291991,1.2777450694658188,16.741300582885742,7.716455936431885,0.027297173086136568,0.022013631686817005
2724504764655222190,176,8,0.8,5.820307527663756,9.813887106132569,2.0,False,1931,1931,1931,5,0.328000009059906,0.41999998688697815,0.6007200145721433,1.491949887846404,17.749292373657227,7.716455936431885,0.03632731169022643,0.033499820358232776
2724504764655222190,176,9,0.6,6.501809302107761,9.688948369524269,2.0,False,1817,1817,1817,5,0.31200000643730164,0.3799999952316284,0.5260000228881836,1.4453937756721236,19.21997833251953,8.782031059265137,0.06851353026697676,0.04512769154246732
2724504764655222190,176,10,0.4,7.124157250111927,9.512857110468588,2.0,False,1688,1688,1688,5,0.28999999165534973,0.3499999940395355,0.4399999976158142,1.4833952633846077,19.44856071472168,9.483963966369629,0.12193822952611773,0.08342709956559276
2724504764655222190,176,11,0.2,7.794092507154994,9.211827114804606,2.0,False,1311,1311,1311,5,0.21199999749660492,0.28999999165534973,0.36279999017715425,1.7243391866978617,19.325490951538086,8.914237022399902,0.2985917924462115,0.27155746375216966
2747318900655360061,187,1,0.99,2.7923924398497,10.451534433183976,2.0,False,1959,1959,1959,5,0.44600000977516174,0.5740000009536743,0.75,1.1758185537123702,4.866283893585205,9.324906349182129,0.007964997417290013,0.0024136646998277646
2747318900655360061,187,2,0.98,3.2337580636377052,10.44712531427892,2.0,False,1960,1960,1960,5,0.44600000977516174,0.5720000267028809,0.7519999742507935,1.4450317647308277,7.101550579071045,5.596464157104492,0.0099996220625773,0.006040520478632211
