descendant_id,descendant_bundle_index,descendant_log_stellar_mass,stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,rank,galaxy_id,bundle_index,log_stellar_mass,mass_offset_dex,redshift,phz_log_ssfr,phz_delta_ms,cumulative_sfh_distance,has_stamp
2724504764655222190,176,9.910797119140625,1,0.99,4.375962144375768,9.906432313738176,2.0,False,1,2720007771659853382,11064,9.99194049835205,0.08550818461387522,0.6499999761581421,-9.636134386062622,0.5188667937488128,0.025453820557458165,True
2724504764655222190,176,9.910797119140625,1,0.99,4.375962144375768,9.906432313738176,2.0,False,2,2702264945644089412,10235,9.941662788391113,0.035230474652937716,0.5920000076293945,-9.163082778453827,1.026914455071695,0.025497946751999234,True
2724504764655222190,176,9.910797119140625,1,0.99,4.375962144375768,9.906432313738176,2.0,False,3,2636586511673214549,8485,9.833500862121582,-0.07293145161659353,0.6259999871253967,-9.070382833480835,1.0495545417546874,0.025719568277985733,True
2724504764655222190,176,9.910797119140625,1,0.99,4.375962144375768,9.906432313738176,2.0,False,4,2710934851677403175,10331,9.876761436462402,-0.029670877275773222,0.6100000143051147,-9.228910565376282,0.9209370630070269,0.02583576791463033,True
2724504764655222190,176,9.910797119140625,1,0.99,4.375962144375768,9.906432313738176,2.0,False,5,2747868252647478517,10661,9.89883804321289,-0.007594270525284941,0.6740000247955322,-9.306225836277008,0.7952134648280585,0.026417406851463453,True
2724504764655222190,176,9.910797119140625,2,0.98,4.651054513041737,9.90202319483312,2.0,False,1,2723883067661235834,12020,9.928226470947266,0.026203276114145524,0.8399999737739563,-8.52579915523529,1.4575252732510795,0.024827766435100568,True
2724504764655222190,176,9.910797119140625,2,0.98,4.651054513041737,9.90202319483312,2.0,False,2,2708716725661413603,7667,9.945369720458984,0.043346525625864274,0.6620000004768372,-9.27039659023285,0.8576572041817826,0.025680676929941294,True
2724504764655222190,176,9.910797119140625,2,0.98,4.651054513041737,9.90202319483312,2.0,False,3,2641520133682549304,11659,10.048356056213379,0.1463328613802588,0.7139999866485596,-8.660111904144287,1.459714325697981,0.026182867175006338,True
2724504764655222190,176,9.910797119140625,2,0.98,4.651054513041737,9.90202319483312,2.0,False,4,2714856825671865494,9943,9.933853149414062,0.0318299545809424,0.6340000033378601,-9.29434072971344,0.8542836383803797,0.02668038515551941,True
2724504764655222190,176,9.910797119140625,2,0.98,4.651054513041737,9.90202319483312,2.0,False,5,2634255044660117743,12705,10.033166885375977,0.13114369054285646,0.8579999804496765,-8.74124538898468,1.263724188987759,0.027915449399732565,True
2724504764655222190,176,9.910797119140625,3,0.97,4.862210584347391,9.89756885340687,2.0,False,1,2631843144671946880,12775,10.04035758972168,0.14278873631480948,0.8080000281333923,-8.734243750572205,1.3091303912112475,0.023848920585193056,True
2724504764655222190,176,9.910797119140625,3,0.97,4.862210584347391,9.89756885340687,2.0,False,2,2668351451652528678,9260,9.828948020935059,-0.06862083247181161,0.5440000295639038,-9.37601962685585,0.8187484967976028,0.024341105277026636,True
2724504764655222190,176,9.910797119140625,3,0.97,4.862210584347391,9.89756885340687,2.0,False,3,2668177767647329715,8686,9.860139846801758,-0.03742900660511239,0.6639999747276306,-9.338017642498016,0.7583363906479373,0.024468573452467834,True
2724504764655222190,176,9.910797119140625,3,0.97,4.862210584347391,9.89756885340687,2.0,False,4,2714545670687169118,11687,10.024767875671387,0.12719902226451651,0.7680000066757202,-8.333251476287842,1.7352500022679451,0.024709795386794388,True
2724504764655222190,176,9.910797119140625,3,0.97,4.862210584347391,9.89756885340687,2.0,False,5,2713655739657340946,13581,9.992520332336426,0.09495147892955558,1.0420000553131104,-8.157710075378418,1.718318855572527,0.02597698091615835,True
2724504764655222190,176,9.910797119140625,4,0.96,4.962916639631453,9.893068352180194,2.0,False,1,2686852091679748381,11279,9.947132110595703,0.054063758415509255,0.7400000095367432,-8.965785503387451,1.098331023628766,0.02164001260378539,True
2724504764655222190,176,9.910797119140625,4,0.96,4.962916639631453,9.893068352180194,2.0,False,2,2671035203658762925,12426,9.900883674621582,0.007815322441388162,0.7080000042915344,-8.48408055305481,1.589838879874074,0.023414207423231637,True
2724504764655222190,176,9.910797119140625,4,0.96,4.962916639631453,9.893068352180194,2.0,False,3,2745187240655278469,13695,9.949006080627441,0.05593772844724754,1.1440000534057617,-8.646923542022705,1.1613024856623064,0.023761976838155716,True
2724504764655222190,176,9.910797119140625,4,0.96,4.962916639631453,9.893068352180194,2.0,False,4,2758155850640542405,7533,9.918693542480469,0.02562519030027488,0.6019999980926514,-9.638230949640274,0.5340981417344141,0.023777760578584602,True
