galaxy_id,bundle_index,log_stellar_mass,redshift,phz_log_ssfr,phz_delta_ms,sfh_umap_x,sfh_umap_y,n_checkpoints
2724504764655222190,176,9.910797119140625,0.28999999165534973,-10.046527981758118,0.4768974667484679,-2.944371461868286,15.57758903503418,11
2747318900655360061,187,10.455899238586426,0.4699999988079071,-11.34218019247055,-0.8301886477805814,-3.4527790546417236,11.81324291229248,12
2737971691688775855,197,10.250126838684082,0.36000001430511475,-10.00083202123642,0.568634338382504,-2.967818260192871,14.10438346862793,12
2712656789689234291,287,9.792556762695312,0.3580000102519989,-9.95846351981163,0.42703540243865346,-2.13602876663208,13.246342658996582,11
2670894290641827252,370,9.92640209197998,0.3799999952316284,-16.70593023300171,-6.293258693870884,-3.32779598236084,13.412590026855469,11
2705172218640263124,407,10.812716484069824,0.4620000123977661,-10.75607393682003,-0.09662975377376315,-2.339296340942383,12.37287712097168,13
2742717814645895315,626,10.195389747619629,0.4000000059604645,-13.745662450790405,-3.249971585788695,-3.581068754196167,11.95976448059082,12
2650499248640360871,660,10.368856430053711,0.33000001311302185,-10.893397808074951,-0.23397171887736568,-3.2359044551849365,12.595348358154297,12
2711875963687384932,696,10.718441009521484,0.4819999933242798,-10.583782747387886,0.014372372048067183,-3.6156907081604004,12.530538558959961,13
2644190652681068440,744,10.609413146972656,0.2919999957084656,-10.416630610823631,0.3996890767164526,0.6458558440208435,11.87449836730957,13
2717683167686072044,789,10.120988845825195,0.2919999957084656,-10.41663110256195,0.1929909043455419,-1.7665187120437622,12.771354675292969,12
2653177617685263216,893,10.849359512329102,0.38199999928474426,-10.727436140179634,0.05440167087212744,-0.8823120594024658,15.670602798461914,13
2724482865640766712,935,10.554691314697266,0.3799999952316284,-10.877374917268753,-0.2114577683834581,-1.332672357559204,13.810214042663574,13
2673346092638193989,960,10.55398178100586,0.4359999895095825,-10.418392524123192,0.17355565677518248,-2.4963245391845703,14.099739074707031,13
2722992635655635302,1081,10.092466354370117,0.3540000021457672,-11.485181331634521,-0.9721347455509651,-0.6423383355140686,15.05831527709961,12
2754548422681032812,1280,10.350168228149414,0.40799999237060547,-10.32392642274499,0.22325515990648126,-0.7329676151275635,15.111457824707031,12
2662517503663840132,1880,10.183091163635254,0.5,-10.291631773114204,0.08172724266737352,-3.358102560043335,14.422224998474121,12
2761280471664679469,1912,10.606868743896484,0.35199999809265137,-11.386097967624664,-0.6599263079233731,-0.8459492325782776,15.649892807006836,13
2633610246658904883,2011,9.992318153381348,0.3799999952316284,-10.180675253272057,0.2585651852742433,0.7801095843315125,13.346538543701172,12
2662346520686217637,2220,9.826979637145996,0.32199999690055847,-10.154409915208817,0.29092678540995054,-1.2364041805267334,13.693742752075195,11
2660866381674017548,2385,10.218579292297363,0.36800000071525574,-13.542086362838745,-2.9960248599570494,-3.5659432411193848,12.686033248901367,12
2718652604657475036,2505,10.163248062133789,0.38199999928474426,-9.676016926765442,0.8295643953517965,0.05838829278945923,11.358705520629883,12
2751950488674784783,2661,10.595817565917969,0.42800000309944153,-10.706447541713715,-0.08785302820638885,-1.503651738166809,12.658970832824707,13
2711316674688861679,3201,10.000606536865234,0.3720000088214874,-9.443154156208038,1.0094362006532047,-2.288782835006714,13.885396957397461,12
2758504461649693703,3385,10.06613826751709,0.3799999952316284,-16.69313621520996,-6.224140977217002,0.3441349267959595,13.734016418457031,12
2635505172644102095,3551,9.873952865600586,0.3799999952316284,-16.69313621520996,-6.301605475308755,0.12263048440217972,13.287154197692871,11
2666451865656496198,3643,10.160100936889648,0.42399999499320984,-10.527231961488724,-0.07506735535412068,-1.6230998039245605,14.612862586975098,12
2648213781662575539,3736,10.29631519317627,0.38199999928474426,-9.911565005779266,0.6475945774264898,-1.236433982849121,13.832127571105957,12
2634498978655039634,3819,10.519712448120117,0.4699999988079071,-11.342180669307709,-0.8056375078982138,-4.05549955368042,12.564359664916992,13
2678113309637768183,3914,10.249629974365234,0.3799999952316284,-10.879223227500916,-0.33626767393119705,-1.1760822534561157,14.826085090637207,12
2763283538658028988,4122,10.252273559570312,0.3799999952316284,-10.007638350129128,0.5363827578429129,0.46652501821517944,12.22643756866455,12
2753980821676566598,4149,9.869669914245605,0.35199999809265137,-9.981763795018196,0.4427289154238977,-3.126232624053955,14.551937103271484,11
2753844028681126868,4181,10.381086349487305,0.3199999928474426,-10.3884346797131,0.29031583358852087,-2.206051826477051,13.433011054992676,12
2629855112672511445,4257,10.01547908782959,0.33799999952316284,-10.825870275497437,-0.32342142289641596,-1.952359914779663,13.634554862976074,12
2638463246642731644,4278,10.218119621276855,0.4480000138282776,-11.26559066772461,-0.8194133965777614,-3.4927122592926025,11.687028884887695,12
2645768036683214925,4398,10.390424728393555,0.46000000834465027,-11.441797971725464,-0.9430850724357122,-3.769279718399048,13.66727066040039,12
2666570533687891040,4491,10.54677963256836,0.3059999942779541,-10.142444431781769,0.626151008134633,-0.864309549331665,15.66670036315918,13
2651531292677668997,4658,10.10486888885498,0.3499999940395355,-9.963318392634392,0.560055275629732,-1.6950119733810425,12.633070945739746,12
2703392565643518830,4758,10.346606254577637,0.4320000112056732,-10.519804626703262,-0.004105387059605392,-3.1802191734313965,12.487748146057129,12
2770516392667255626,4885,11.077910423278809,0.46000000834465027,-10.913168177008629,-0.1486211849304221,-3.9242870807647705,13.924463272094727,14
2622795943658999804,4971,10.401784896850586,0.38199999928474426,-9.911564886569977,0.6900611064555496,-2.4195148944854736,11.271211624145508,12
2771426637662612331,5171,10.892925262451172,0.38999998569488525,-11.789833128452301,-1.001861729310177,-2.795276641845703,14.044532775878906,13
2640054944672936560,5315,10.8060941696167,0.4580000042915344,-11.587823510169983,-0.925818626930767,-3.820434808731079,13.575638771057129,13
2658181531669839963,5495,10.419353485107422,0.4620000123977661,-10.756073653697968,-0.24858051017549754,-2.854790687561035,14.88172435760498,12
2668550267656736019,5538,10.197906494140625,0.34599998593330383,-11.268935441970825,-0.7020783630455864,0.8558918237686157,12.430963516235352,12
2728554856682695590,5610,9.888867378234863,0.335999995470047,-10.661213397979736,-0.2083949681760512,-1.59914231300354,11.255230903625488,11
2693277407684987531,5714,10.341464042663574,0.4000000059604645,-13.745662927627563,-3.191715744938049,-3.3278415203094482,11.67066478729248,12
2734861852681779224,5826,10.807682037353516,0.4000000059604645,-10.792199560441077,-0.05231861300358054,-3.5753235816955566,14.001489639282227,13
2774427764664061440,5927,10.1167631149292,0.3700000047683716,-10.24602384865284,0.25615676745412796,-2.0189363956451416,15.65579891204834,12
2656064317644990313,6093,10.280743598937988,0.4180000126361847,-10.508303418755531,-0.0011981609451755526,-0.438986599445343,14.22463321685791,12
2661025964638724437,6321,10.363653182983398,0.46399998664855957,-11.703981399536133,-1.2203826252935701,-4.058374404907227,13.161552429199219,12
