galaxy_id,cluster,redshift,log_stellar_mass,delta_ms_100myr,delta_ms_recent_01,delta_ms_recent_02,activity_range
2645417660652869121,1,0.009999999776482582,6.0049729347229,-0.5643983656149282,-0.6820458518417938,-0.7532183615471073,Below MS: ΔMS < −0.5
2710058877679422377,1,0.009999999776482582,6.969528675079346,-0.9247350199581149,-0.8266174582317674,-0.7836880798006819,Below MS: ΔMS < −0.5
2693387174644697482,1,0.014000000432133675,6.913326263427734,-1.1402953618902274,-1.044315805542231,-1.0381183337595479,Below MS: ΔMS < −0.5
2686742988680367397,1,0.01600000075995922,6.710052490234375,-1.3818405280249115,-1.2320305146197188,-1.217962831996526,Below MS: ΔMS < −0.5
2682672059678877256,1,0.12200000137090683,8.961007118225098,0.44560564060714053,0.38137931147425164,0.3455038765189578,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2647553036674568168,1,0.17000000178813934,9.424777030944824,0.3337929503963324,0.3252037533746678,0.3035982011310079,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2639973805665388636,1,0.33000001311302185,9.76725959777832,0.22515578208755072,0.22576802766797063,0.1878124992525285,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2711971216680402728,1,0.2280000001192093,9.08676815032959,-0.0782808764518853,-0.0344064425134063,-0.00315802914973467,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2723573150645892222,1,0.5080000162124634,9.45236587524414,0.6298693337758432,0.5708700030876293,0.49049141547339953,Above MS: ΔMS > 0.5
2671462247653564062,1,0.3700000047683716,9.17375373840332,0.6699204303124504,0.5257354353060776,0.4350286218741294,Above MS: ΔMS > 0.5
2732390509670497957,1,0.7020000219345093,9.961954116821289,0.5386913653368018,0.5149521735433026,0.49237823753655097,Above MS: ΔMS > 0.5
2742669090671738592,1,0.25999999046325684,9.071837425231934,0.7122199389368906,0.5819169266445674,0.4828934914029187,Above MS: ΔMS > 0.5
2654113521684760964,2,0.5,10.441530227661133,-4.0,-1.1029565402258361,-0.7634996188113742,Below MS: ΔMS < −0.5
2724018233645446841,2,0.6539999842643738,10.84386920928955,-4.0,-0.6339286196034669,-0.537050692757725,Below MS: ΔMS < −0.5
2706235718689265190,2,0.38999998569488525,9.861333847045898,-4.0,-1.1642553903925004,-0.7865315795837491,Below MS: ΔMS < −0.5
2740850236640508993,2,0.8199999928474426,10.82083511352539,-4.0,-0.6427910972268469,-0.5415818597154152,Below MS: ΔMS < −0.5
2762170474662090486,2,0.42399999499320984,9.869609832763672,-1.2693744833417668,-0.4494670248557651,-0.45767630754411465,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2734774700679530546,2,0.36000001430511475,9.844453811645508,-0.328655008128408,-0.07448314438912877,-0.07550251415956881,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2623886178651951876,2,0.31200000643730164,9.353165626525879,-0.742978126433788,-0.2514142435516397,-0.17325256714131898,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2662529987641731170,2,0.6060000061988831,9.769292831420898,0.025768805426392934,0.011819960165532448,-0.016351996690235068,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2689623915688819966,2,0.42800000309944153,10.570357322692871,-4.0,0.5752453405924015,0.5478178482974722,Above MS: ΔMS > 0.5
2647260552666213902,2,0.46799999475479126,10.629515647888184,-4.0,0.5632750042574652,0.5373685257893696,Above MS: ΔMS > 0.5
2688094234689024537,2,0.36800000071525574,8.743559837341309,0.8638071827041363,0.6091858339308001,0.46592277003261284,Above MS: ΔMS > 0.5
2753537212644278144,2,0.41600000858306885,10.896814346313477,-4.0,0.8174396688753107,0.7272477920268698,Above MS: ΔMS > 0.5
2649408207680763439,3,0.5220000147819519,10.381631851196289,-4.0,-1.3572094524973592,-0.7384521148299874,Below MS: ΔMS < −0.5
2688398059652889448,3,0.7480000257492065,10.744787216186523,-4.0,-1.3017695608369497,-0.6360934964470449,Below MS: ΔMS < −0.5
2755098478663998246,3,0.32199999690055847,9.98784351348877,-4.0,-4.0,-4.0,Below MS: ΔMS < −0.5
2686920508691128613,3,0.4699999988079071,10.303592681884766,-4.0,-4.0,-4.0,Below MS: ΔMS < −0.5
2668926957674575312,3,0.33000001311302185,10.042827606201172,-4.0,-0.4619877423556633,-0.42922702048872774,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2693741834646048150,3,0.5059999823570251,10.286544799804688,-1.5670915264841345,-0.3065003548995646,-0.2585826183898619,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2690673065648218755,3,0.36000001430511475,10.186120986938477,-4.0,-0.3782372424164869,-0.30451799484881903,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2733779763641057658,3,0.5099999904632568,10.422064781188965,-0.6683659997589356,-0.25315428523918865,-0.25793644523596937,Near MS: −0.5 ≤ ΔMS ≤ 0.5
2761498212651227577,3,0.17000000178813934,8.33081340789795,0.7676521126996018,0.506501098411309,0.3873665000451919,Above MS: ΔMS > 0.5
2737172623675098210,3,0.18000000715255737,8.412981033325195,0.9275718470993833,0.5487330455163055,0.41885032742414635,Above MS: ΔMS > 0.5
2736939010641443495,3,0.18000000715255737,8.572359085083008,1.0074174127700632,0.6301035662717605,0.5082478912524914,Above MS: ΔMS > 0.5
2648545772681764910,3,0.9940000176429749,9.39389705657959,0.9048854092187966,0.6764035119382887,0.5627288011992624,Above MS: ΔMS > 0.5
