galaxy_id,cluster,redshift,log_stellar_mass,delta_ms_100myr,delta_ms_recent_01,delta_ms_recent_02
2749472010662062662,2,0.414000004529953,9.572876930236816,-0.764979604702217,-0.3510529483928279,-0.3331625871462377
2698599688647004245,2,0.4300000071525574,10.055806159973145,-0.5985219211172069,-0.23184991901175883,-0.2571240032081961
2700041737651508119,2,0.3400000035762787,9.65551471710205,-0.05954649038860296,0.06876306071483528,0.08658791314338672
2724697682648344993,2,0.33000001311302185,10.035294532775879,-0.22259239664303612,-0.05549386175566462,-0.08134403081374937
2630569001653946001,2,0.12999999523162842,8.444132804870605,-0.16157556939162715,-0.12230488035886485,-0.12507261579994983
2728018951657407340,2,0.3199999928474426,9.76610279083252,-4.0,-0.6248154716401879,-0.5847827593563951
2732742801646179758,2,0.44600000977516174,10.431346893310547,-4.0,-1.7627887935021977,-0.915598222198129
2660170129674235009,2,0.4399999976158142,9.833959579467773,-0.09345149919045861,-0.015085746175300035,-0.03648676623286882
2761738472663870829,2,0.3840000033378601,9.838501930236816,-0.6224745166410915,-0.2753454140235535,-0.2843321828729513
2654019302673902276,2,0.43799999356269836,9.972407341003418,-0.7237240906769801,-0.35914168457314205,-0.38404971308818553
2670144529677943766,2,0.34200000762939453,9.16235637664795,-0.14608533263310625,-0.12603654603802342,-0.15103208359760456
2723445501640108922,2,0.30000001192092896,9.49708366394043,0.09430948025532183,0.13432814658288764,0.11704489257680026
2700520354638106083,2,0.23199999332427979,9.126571655273438,0.16301862138699272,0.11796196916121093,0.07697895739430528
2659725226674857770,2,0.4519999921321869,9.645193099975586,-0.3564490235820699,-0.2170234609071949,-0.2091973049940858
2756454033648937125,2,0.4399999976158142,9.953967094421387,-0.20475615431524546,-0.036342317020619304,-0.039355203655508784
2751689781651088708,2,0.37400001287460327,9.612495422363281,-0.5504779097667599,-0.1471876251053454,-0.1801781289405599
2637505753653796511,2,0.43799999356269836,10.158952713012695,-4.0,-0.73254208560353,-0.5818032516372598
2736100449658173207,2,0.3019999861717224,9.68310546875,-0.2127375866984459,-0.09362605741623019,-0.11719336869792361
2643430004684950693,2,0.4580000042915344,9.791015625,-0.35393751949661373,-0.24778641393811704,-0.20463425584641035
2635165448672449604,2,0.4779999852180481,9.7258939743042,-0.2524304295574448,-0.1734643662601754,-0.17256638599276045
2759859274644149328,2,0.44999998807907104,10.1954345703125,-0.3080203201103972,-0.20764747214692172,-0.25633380380121396
2732582752642437017,2,0.34200000762939453,9.840616226196289,-1.047208030287089,-0.4777233591429229,-0.5075069468015931
2736237535653043237,2,0.30000001192092896,9.291820526123047,-0.24229482395196084,-0.1758495039129716,-0.2137989933622962
2737105002656350894,2,0.30799999833106995,9.867859840393066,-4.0,-0.5053461281833832,-0.4845258780762323
2640037496643905020,2,0.15199999511241913,8.967135429382324,-0.30771601095040346,-0.18157635093485902,-0.22324215907376677
2643807157684568942,2,0.17000000178813934,9.273207664489746,-0.24412464023664032,-0.17046913521218215,-0.2104617398907596
2645677452684925438,2,0.4300000071525574,9.727904319763184,-0.9254387170770375,-0.5352441639635561,-0.5603991319263542
2738111072652368366,2,0.3319999873638153,9.43238353729248,-0.04757943946507823,-0.004866394101431215,-0.041305401550985
2733875566678464482,2,0.3720000088214874,9.617877006530762,-0.08204091549500991,-0.018925211078256687,-0.036238537319252286
2645456783642505247,2,0.47600001096725464,10.450428009033203,-0.40930219233399223,-0.22317665879965173,-0.2664190234730963
2681125444644622772,2,0.39399999380111694,9.410218238830566,-0.08414771028024155,0.04809334580387355,0.06631515796695103
2650040945648659179,2,0.3059999942779541,9.122451782226562,-0.07479449504907205,-0.025800663153232973,-0.014323528464328576
2679167299644931539,2,0.33000001311302185,10.054275512695312,-0.3697390293927918,-0.19947487495918695,-0.2401495256430747
2638906396649632034,2,0.44600000977516174,10.165145874023438,-4.0,-0.9420939886757336,-0.6834833386534057
2739717813684070763,2,0.36000001430511475,9.410036087036133,-0.570097767272452,-0.302509240923268,-0.2818122795207322
2662847022640564950,2,0.4580000042915344,9.977112770080566,-0.16663554775627942,-0.15631314712552596,-0.18358854364343483
2730009745642560765,2,0.38999998569488525,9.339766502380371,0.14226330392467207,0.1848014438245737,0.1753181865398354
2741100223685314031,2,0.3580000102519989,10.139392852783203,-0.20148888615189905,-0.11596571039980787,-0.14519574282491987
2679053855651678130,2,0.34200000762939453,10.403680801391602,-4.0,-0.4433171489640436,-0.3636303705383592
2741276862686053717,2,0.33399999141693115,10.048809051513672,-0.1002572982241133,0.021528954451403837,-0.03365129433268647
2681179495646180990,2,0.33000001311302185,9.510143280029297,0.0916168941056082,0.14076022440036687,0.1328328052987695
2663045130686919824,2,0.421999990940094,10.75946044921875,-2.166949270010721,-0.377788422466688,-0.3143555988438663
2720723308638632787,2,0.33000001311302185,9.494983673095703,-0.4115890279286701,-0.2832514941453012,-0.29879124429447346
2730099272678623111,2,0.3140000104904175,9.789956092834473,-1.279689944885138,-0.4151815344580513,-0.44514423885053156
2638810496649936483,2,0.20399999618530273,8.980067253112793,0.0029411214351952727,0.027682377552678168,-0.009572757414477719
2646963563641648418,2,0.3700000047683716,10.004287719726562,-0.01601673927397043,0.08491444462280509,0.09268456466394473
2648881843643445297,2,0.3319999873638153,9.281124114990234,-0.6332522636122117,-0.28598613336018286,-0.27588374044705766
2739005015683933321,2,0.23000000417232513,9.123952865600586,-0.21875040606364415,-0.12689888574358857,-0.1243478032064484
2682160939651749315,2,0.33399999141693115,9.871724128723145,-2.2839080948483126,-0.28105967327379433,-0.277067310176206
2719640964642661702,2,0.22599999606609344,9.078577041625977,-0.6601969255783877,-0.31542111859310507,-0.32186034939086927
