stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,0.6694098864101891,10.320962435855254,2.0,False,1989,1989,1989,5,0.3959999978542328,0.5419999957084656,0.734000027179718,1.5535381157480272
2,0.9,1.2424472223518108,10.297481340005731,2.0,False,1996,1996,1996,5,0.38999998569488525,0.5400000214576721,0.7260000109672546,1.2969503165115532
3,0.85,1.6901131256761661,10.272657756280699,2.0,False,2016,2016,2016,5,0.38199999928474426,0.5379999876022339,0.7260000109672546,1.3476201898487017
4,0.8,2.0615898015782155,10.24632881755835,2.0,False,2019,2019,2019,5,0.3799999952316284,0.5339999794960022,0.7239999771118164,1.2749750819676309
5,0.6,3.1590244661880345,10.12139008095005,2.0,False,2024,2024,2024,5,0.34200000762939453,0.515999972820282,0.7099999785423279,1.6599599614461211
6,0.4,3.963123495757494,9.945298821894369,2.0,False,2050,2050,2050,5,0.33000001311302185,0.44999998807907104,0.6686399841308588,1.6231027140978829
7,0.2,4.672519224439176,9.644268826230388,1.8785769669670742,False,1737,1737,1737,5,0.3100000023841858,0.3720000088214874,0.5019999742507935,1.3147228775706643
8,0.1,5.042717424857126,9.343238830566406,1.5083787665491242,False,1529,1529,1529,5,0.23000000417232513,0.33000001311302185,0.38199999928474426,1.7791713700094447
