stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,rank,galaxy_id,bundle_index,log_stellar_mass,mass_offset_dex,redshift,phz_log_ssfr,phz_delta_ms,cumulative_sfh_distance,has_stamp
1,0.95,0.6694098864101891,10.320962435855254,2.0,False,1,2758528497640400544,13501,10.448771476745605,0.1278090408903516,0.9340000152587891,-8.603606820106506,1.481937181633779,0.0012973596100916604,True
1,0.95,0.6694098864101891,10.320962435855254,2.0,False,2,2758797559676788642,12563,10.235245704650879,-0.08571673120437495,0.7239999771118164,-9.019184589385986,1.1564779389761841,0.0018357171174861477,True
1,0.95,0.6694098864101891,10.320962435855254,2.0,False,3,2750960247643309266,13595,10.36931324005127,0.04835080419601567,1.0679999589920044,-8.28377389907837,1.6917732144547704,0.0019049683108429182,True
1,0.95,0.6694098864101891,10.320962435855254,2.0,False,4,2714848959639851096,11618,10.33735466003418,0.01639222417892583,0.7459999918937683,-8.638455390930176,1.5535381157480272,0.002200841552608857,True
1,0.95,0.6694098864101891,10.320962435855254,2.0,False,5,2678340320651339065,11753,10.413244247436523,0.09228181158126958,0.7860000133514404,-8.48431396484375,1.700304361209795,0.0025299941646814814,True
2,0.9,1.2424472223518108,10.297481340005731,2.0,False,1,2642114313645187717,13498,10.301076889038086,0.0035955490323544836,0.9679999947547913,-8.455266833305359,1.5610622215891072,0.0014998006357653825,True
2,0.9,1.2424472223518108,10.297481340005731,2.0,False,2,2736389342656361928,13439,10.316573143005371,0.01909180299963964,0.9120000004768372,-8.719956994056702,1.3387556972621657,0.0024052695611871387,True
2,0.9,1.2424472223518108,10.297481340005731,2.0,False,3,2629667783659961275,11874,10.217449188232422,-0.08003215177330958,0.8339999914169312,-9.396726131439209,0.6857819850644485,0.003049209552828824,True
2,0.9,1.2424472223518108,10.297481340005731,2.0,False,4,2730582075671504940,11266,10.302055358886719,0.004574018880987296,0.7900000214576721,-9.27785038948059,0.8664070848965316,0.004654661640628671,True
2,0.9,1.2424472223518108,10.297481340005731,2.0,False,5,2682438598672766413,12669,10.193547248840332,-0.10393409116539942,0.7620000243186951,-8.833203434944153,1.2969503165115532,0.004778752395508238,True
3,0.85,1.6901131256761661,10.272657756280699,2.0,False,1,2710210833664871369,11536,10.221918106079102,-0.05073965020159754,0.8399999737739563,-9.408969402313232,0.6705639912685498,0.003017474391211205,True
3,0.85,1.6901131256761661,10.272657756280699,2.0,False,2,2666887993669930115,12249,10.162971496582031,-0.10968625969866785,0.7860000133514404,-8.806489825248718,1.2944261362124014,0.0036991841970491005,True
3,0.85,1.6901131256761661,10.272657756280699,2.0,False,3,2762848557663621053,11697,10.17127799987793,-0.10137975640276942,0.8360000252723694,-8.718257188796997,1.3476201898487017,0.0053215303662856855,True
3,0.85,1.6901131256761661,10.272657756280699,2.0,False,4,2754013848673523846,13324,10.391067504882812,0.1184097486021134,0.9020000100135803,-8.48261046409607,1.6069068206849484,0.005606297983743116,True
3,0.85,1.6901131256761661,10.272657756280699,2.0,False,5,2711142278683735352,13405,10.361286163330078,0.08862840704937902,0.9300000071525574,-8.497808337211609,1.562761937907171,0.005691516967209303,True
4,0.8,2.0615898015782155,10.24632881755835,2.0,False,1,2678586074686170254,13364,10.28032398223877,0.03399516468041952,0.9779999852180481,-8.728435516357422,1.2749750819676309,0.011071530244168928,True
4,0.8,2.0615898015782155,10.24632881755835,2.0,False,2,2641625667665171672,13525,10.195700645446777,-0.05062817211157267,0.9879999756813049,-8.691456317901611,1.279299007108634,0.011712570039109083,True
4,0.8,2.0615898015782155,10.24632881755835,2.0,False,3,2660350437672187516,11447,10.136098861694336,-0.11022995586401407,0.7279999852180481,-9.21818196773529,0.9201672848597541,0.011732201598910282,True
4,0.8,2.0615898015782155,10.24632881755835,2.0,False,4,2638529012665704771,13565,10.127030372619629,-0.1192984449387211,0.9300000071525574,-8.046405792236328,1.9398949528763922,0.01214932629897127,True
4,0.8,2.0615898015782155,10.24632881755835,2.0,False,5,2655200288679618340,13461,10.255102157592773,0.008773340034423427,0.9020000100135803,-8.797689199447632,1.2482905089694687,0.012320661602405254,True
5,0.6,3.1590244661880345,10.12139008095005,2.0,False,1,2717353722653902287,13682,10.230218887329102,0.10882880637905146,1.1979999542236328,-8.051108121871948,1.8123752487073825,0.04578017628950119,True
5,0.6,3.1590244661880345,10.12139008095005,2.0,False,2,2658189408677769790,13714,10.072080612182617,-0.04930946876743292,1.4639999866485596,-8.117822885513306,1.5850754658068387,0.048283100508034804,True
5,0.6,3.1590244661880345,10.12139008095005,2.0,False,3,2737101536672032269,13658,10.196409225463867,0.07501914451381708,1.1740000247955322,-8.192847728729248,1.6729419001754704,0.04892434271486725,True
5,0.6,3.1590244661880345,10.12139008095005,2.0,False,4,2691025900648883627,13687,10.147310256958008,0.025920176007957707,1.1820000410079956,-8.187386870384216,1.6599599614461211,0.05282127354494208,True
5,0.6,3.1590244661880345,10.12139008095005,2.0,False,5,2649029123653292699,13256,9.974139213562012,-0.1472508673880384,1.062000036239624,-8.236454367637634,1.6227576046145935,0.06050981662144159,True
6,0.4,3.963123495757494,9.945298821894369,2.0,False,1,2647131718660160391,13641,10.030768394470215,0.08546957257584609,1.1699999570846558,-8.192909002304077,1.6263188369991526,0.12560547485517942,True
6,0.4,3.963123495757494,9.945298821894369,2.0,False,2,2766281064676170516,13650,9.845746040344238,-0.09955278155013048,1.1380000114440918,-8.042246699333191,1.7384314264400218,0.13869584486670936,True
6,0.4,3.963123495757494,9.945298821894369,2.0,False,3,2650234495658951302,13302,9.930355072021484,-0.014943749872884382,1.0099999904632568,-8.515605092048645,1.3597371469292585,0.16719491748543863,True
6,0.4,3.963123495757494,9.945298821894369,2.0,False,4,2708364677681344616,13168,9.824572563171387,-0.12072625872298204,0.9200000166893005,-8.517350673675537,1.3793198739447372,0.17816559473462337,True
6,0.4,3.963123495757494,9.945298821894369,2.0,False,5,2647176063640000279,13626,9.946571350097656,0.001272528203287493,1.2400000095367432,-8.138103246688843,1.6231027140978829,0.18396169712318894,True
7,0.2,4.672519224439176,9.644268826230388,1.8785769669670742,False,1,2645606478643808588,13689,9.721755981445312,0.077487155214925,1.1160000562667847,-8.081810712814331,1.6730197019029682,0.25911674999595663,True
7,0.2,4.672519224439176,9.644268826230388,1.8785769669670742,False,2,2744318378668883710,12888,9.64550495147705,0.0012361252466632777,0.7699999809265137,-8.624585390090942,1.3147228775706643,0.2770600850825744,True
7,0.2,4.672519224439176,9.644268826230388,1.8785769669670742,False,3,2733550546657853038,11223,9.756985664367676,0.11271683813728828,0.7599999904632568,-8.734839916229248,1.2494068846420645,0.3054600928081947,True
7,0.2,4.672519224439176,9.644268826230388,1.8785769669670742,False,4,2695901997638798783,13625,9.547673225402832,-0.09659560082755547,1.2339999675750732,-8.165629386901855,1.4833952633846077,0.30788965710792626,True
7,0.2,4.672519224439176,9.644268826230388,1.8785769669670742,False,5,2753054265674679912,11124,9.499979972839355,-0.14428885339103203,0.5600000023841858,-8.87170934677124,1.1863394566258676,0.3350731813799007,True
8,0.1,5.042717424857126,9.343238830566406,1.5083787665491242,False,1,2648545772681764910,13209,9.39389705657959,0.050658226013183594,0.9940000176429749,-7.933144807815552,1.7851928284375753,0.32004854401425553,True
8,0.1,5.042717424857126,9.343238830566406,1.5083787665491242,False,2,2647975483685285807,9495,9.43640422821045,0.09316539764404297,0.5099999904632568,-8.741430282592773,1.339299803474359,0.34618139816943083,True
8,0.1,5.042717424857126,9.343238830566406,1.5083787665491242,False,3,2740268308665100250,12261,9.467595100402832,0.12435626983642578,0.7599999904632568,-8.114611625671387,1.7718493081294908,0.38186422601475956,True
8,0.1,5.042717424857126,9.343238830566406,1.5083787665491242,False,4,2729264667640595011,13014,9.489263534545898,0.1460247039794922,0.7599999904632568,-8.114611387252808,1.7791713700094447,0.39840536384508307,True
8,0.1,5.042717424857126,9.343238830566406,1.5083787665491242,False,5,2758021642653704394,13161,9.37881851196289,0.035579681396484375,0.949999988079071,-7.923847198486328,1.8138993626057602,0.4210727793439079,True
